product_id,product_name,category,sub_category,brand,model_no,color,size,weight_kg,cost_price,mrp,supplier_id,manufacture_date,expiry_date,warranty_months,is_returnable,is_active,created_date,updated_ts,source_system
PRD1122,,Kitchen,Small,Briscoe,M1013,Red,M,,,714.13,,,invalid_date,,,,,,PIM
PRD1027,Product_61,Kitchen,Premium,,M2753,White,S,,,1600.23,,invalid_date,,,,N,invalid_date,invalid_ts,PIM
PRD1119,,Home,Large,Briscoe,,White,L,1.2,1314.58,,,2025-03-26,invalid_date,36.0,N,,invalid_date,invalid_ts,
PRD1107,,Electronics,Small,Briscoe,M3179,White,S,0.89,867.64,,,2025-11-15,,,Y,,,,
PRD1055,Product_64,Electronics,Small,Briscoe,,Black,,,321.02,2619.57,SUP197,,invalid_date,,N,N,invalid_date,,
PRD1032,Product_65,,,Living&Co,M3062,,,9.41,1123.21,2548.11,SUP177,,invalid_date,24.0,Y,Y,,invalid_ts,PIM
PRD1101,,Kitchen,Premium,Living&Co,,Red,,9.61,808.92,1230.96,,invalid_date,invalid_date,,Y,,invalid_date,invalid_ts,
PRD1110,Product_67,Home,Small,Other,,,,9.7,962.19,2796.74,,2024-11-03,2024-11-26,12.0,,,invalid_date,invalid_ts,
PRD1119,,Electronics,Large,Briscoe,,Black,L,,,2933.96,,invalid_date,2025-03-05,12.0,,,,2024-08-24 00:00:00,ERP
PRD1063,,Home,Premium,Other,,White,L,,,2190.11,,invalid_date,invalid_date,36.0,N,N,invalid_date,,ERP
PRD1158,,Electronics,Large,Other,M3065,Red,S,12.8,1420.17,1552.85,SUP59,invalid_date,invalid_date,,Y,Y,,,ERP
PRD1077,,Electronics,Large,Living&Co,M1000,,M,,652.69,125.89,SUP192,,invalid_date,12.0,N,Y,,,
PRD1155,,Furniture,Large,Living&Co,,Black,M,14.82,,,SUP93,,invalid_date,36.0,N,Y,2024-04-01,,ERP
PRD1077,,Electronics,Premium,Living&Co,,Red,S,,1084.16,,,invalid_date,,,,N,2024-12-25,,
PRD1130,Product_74,Electronics,Premium,Living&Co,,White,,,,,,invalid_date,,24.0,N,Y,,,PIM
PRD1051,,Furniture,Premium,Other,,White,L,,1363.33,1381.29,,2024-02-11,,36.0,,,invalid_date,2024-11-23 00:00:00,PIM
PRD1133,,Home,,Briscoe,M25,White,S,10.72,,2024.5,SUP100,,,,N,N,,2024-08-16 00:00:00,PIM
PRD1124,Product_77,Electronics,,Living&Co,,Red,L,,388.41,,,2024-05-19,,24.0,,N,invalid_date,,
PRD1171,Product_78,,,,M1697,Red,,0.74,767.75,,,2025-04-06,2025-01-12,,,N,2024-07-30,,ERP
PRD1185,,Home,Premium,Other,,,S,8.2,,2079.41,,invalid_date,invalid_date,36.0,N,,invalid_date,2025-06-19 00:00:00,
PRD1125,Product_80,,Premium,Briscoe,,Black,L,,,884.96,,2025-05-22,,,N,Y,2024-08-06,,ERP
PRD1148,,Electronics,,Living&Co,M2679,Red,S,4.46,,,,2025-04-02,invalid_date,,Y,N,2024-03-14,2024-11-08 00:00:00,ERP
PRD1026,Product_82,Furniture,Small,Briscoe,,Black,L,,,,,invalid_date,,36.0,N,Y,,invalid_ts,PIM
PRD1057,,Furniture,Premium,Other,,Black,,15.39,418.73,290.36,SUP136,,invalid_date,,,,,invalid_ts,ERP
PRD1104,Product_84,,Small,,M339,White,M,12.45,,,,,invalid_date,24.0,N,Y,invalid_date,2024-05-02 00:00:00,
PRD1054,,,Large,,,Black,S,9.42,,717.59,SUP182,invalid_date,,12.0,N,,,invalid_ts,ERP
PRD1148,Product_86,Furniture,Small,Other,M1291,White,L,,1474.1,,SUP137,2024-06-08,2024-08-30,24.0,,Y,,2025-05-07 00:00:00,
PRD1104,,Electronics,,Briscoe,M2830,White,M,18.94,602.82,,SUP172,,,,N,N,invalid_date,2024-08-05 00:00:00,ERP
PRD1087,,Home,,,,,L,,,1224.75,SUP46,invalid_date,2024-07-01,12.0,,N,invalid_date,2024-08-11 00:00:00,ERP
PRD1116,,Home,,,,White,M,,891.24,1678.95,SUP95,invalid_date,2024-04-21,24.0,,N,invalid_date,invalid_ts,
PRD1135,,Home,,,M3659,,L,,,,,,invalid_date,,N,,2025-08-09,invalid_ts,PIM
PRD1071,Product_91,Electronics,Premium,Living&Co,M4165,Red,,0.68,,,SUP92,,2025-04-13,36.0,,Y,2025-10-16,invalid_ts,
PRD1082,Product_92,Kitchen,Large,Other,,Black,S,13.91,1393.76,,,invalid_date,2025-06-24,24.0,Y,,invalid_date,2024-11-24 00:00:00,
PRD1045,Product_93,,,Briscoe,,Red,S,,562.51,2900.52,,,2025-08-03,36.0,N,Y,invalid_date,,
PRD1154,Product_94,Kitchen,,Living&Co,,White,M,,1378.54,1243.19,,2025-10-19,,,Y,,,,
PRD1064,Product_95,Home,Premium,Living&Co,,,,,220.01,,SUP56,invalid_date,2025-10-06,12.0,,Y,,invalid_ts,
PRD1034,,,Small,Other,M1428,White,S,13.62,263.83,,,2025-10-19,,12.0,Y,Y,invalid_date,2024-02-22 00:00:00,PIM
PRD1173,,,,Other,M1932,,M,15.3,,900.0,,invalid_date,,36.0,Y,,2024-05-02,,
PRD1148,Product_98,Home,Small,Living&Co,M2733,Red,,6.25,,2430.05,,2025-02-10,2025-07-26,24.0,N,Y,,2025-03-18 00:00:00,
PRD1111,,,,Briscoe,,Black,S,19.65,,,SUP124,2024-07-19,invalid_date,36.0,N,Y,,,
PRD1012,Product_100,Home,Premium,Briscoe,M3844,,,17.6,,,SUP89,2025-03-20,invalid_date,24.0,Y,Y,,invalid_ts,ERP
PRD1118,Product_101,Electronics,Small,Other,,,S,7.12,1314.78,,SUP76,invalid_date,2024-08-04,,N,N,invalid_date,,PIM
PRD1068,Product_102,Furniture,Premium,,M2268,Red,M,,234.18,1875.84,,2025-07-15,2024-12-02,12.0,Y,N,invalid_date,invalid_ts,ERP
PRD1149,,,Premium,Briscoe,M901,Red,S,,,,SUP12,2025-11-26,,24.0,N,N,2024-01-29,invalid_ts,ERP
PRD1170,Product_104,,Small,Other,,Red,,11.97,,,,2024-03-26,,36.0,N,Y,invalid_date,,PIM
PRD1102,,Home,Small,Living&Co,,White,L,12.25,,1654.28,SUP164,invalid_date,invalid_date,24.0,,,2025-03-10,invalid_ts,
PRD1147,,,,Other,,Red,L,,,,SUP6,invalid_date,,24.0,,N,invalid_date,,
PRD1132,,Furniture,,,M145,,,17.78,,,SUP153,,invalid_date,36.0,Y,,2025-10-04,2024-03-24 00:00:00,PIM
PRD1105,Product_108,Electronics,Large,,M356,Black,,5.12,1461.59,,,2025-09-18,2025-11-21,24.0,N,Y,invalid_date,2024-06-19 00:00:00,PIM
PRD1073,,Electronics,Small,Living&Co,,White,M,,1152.44,,SUP5,,,12.0,Y,,invalid_date,,ERP
PRD1069,,Kitchen,,Living&Co,,Black,S,7.82,,,,invalid_date,invalid_date,24.0,Y,N,2025-04-22,,PIM
PRD1004,Product_111,,Large,,,Black,S,16.35,1001.41,,SUP148,,,,N,,2025-10-25,,
PRD1051,,Kitchen,Small,,,,M,,403.71,,SUP111,2024-11-19,invalid_date,,Y,,invalid_date,,ERP
PRD1062,,Electronics,,Living&Co,M100,Black,,6.98,1393.39,,,invalid_date,,12.0,Y,Y,2024-02-19,invalid_ts,ERP
PRD1077,Product_114,,Large,Other,,,S,13.42,313.41,1431.8,,2024-08-09,invalid_date,24.0,N,,,2024-06-29 00:00:00,ERP
PRD1181,,,Small,Briscoe,,Black,L,9.65,1440.2,,SUP154,2025-02-08,2024-11-04,12.0,,N,2025-08-17,2025-09-03 00:00:00,ERP
PRD1001,,Home,Large,Living&Co,M1786,,M,12.89,,835.17,,invalid_date,invalid_date,36.0,N,Y,2025-03-08,,ERP
PRD1132,Product_117,Furniture,Large,Briscoe,M2437,,,,1063.56,2407.53,SUP77,invalid_date,invalid_date,36.0,N,N,2025-03-16,invalid_ts,PIM
PRD1196,,Furniture,Large,Briscoe,,,M,8.38,592.5,,SUP111,2024-01-21,invalid_date,24.0,Y,Y,2024-04-06,2024-08-30 00:00:00,PIM
PRD1096,Product_119,Electronics,,,,,S,,,1328.98,,invalid_date,,12.0,N,Y,,invalid_ts,
PRD1019,Product_120,Kitchen,Large,Living&Co,,Red,M,15.08,,1859.91,,2025-08-12,,,Y,Y,2024-09-13,,ERP
PRD1042,Product_121,Kitchen,Small,Briscoe,,Red,S,10.6,223.44,,SUP178,,2024-01-15,12.0,N,N,invalid_date,,PIM
PRD1156,,Kitchen,Large,,M1639,Black,L,2.07,746.49,,SUP102,invalid_date,invalid_date,36.0,,,invalid_date,invalid_ts,PIM
PRD1167,,Furniture,Small,Briscoe,,Red,M,6.06,1110.39,2604.61,,2024-01-18,,36.0,N,Y,invalid_date,,ERP
PRD1006,,,Small,Other,,,M,,,640.87,,invalid_date,2024-12-23,,Y,Y,,,ERP
PRD1103,,Kitchen,Premium,,M103,White,,14.02,406.81,,,2024-08-05,2024-01-23,,,N,invalid_date,,PIM
PRD1162,Product_126,Furniture,Premium,Briscoe,,Red,L,11.13,364.61,,,2024-11-18,,12.0,,Y,2024-04-12,invalid_ts,
PRD1162,,Electronics,Premium,Briscoe,M4604,White,M,,,771.14,SUP36,2025-09-04,invalid_date,24.0,,Y,,,ERP
PRD1175,Product_128,Kitchen,Large,Briscoe,,,,11.64,418.33,,,2025-05-26,2024-03-30,,N,Y,2025-06-15,,PIM
PRD1086,,Kitchen,Large,,M2651,,S,,,2842.96,,2024-04-12,2025-05-02,,,N,invalid_date,invalid_ts,ERP
PRD1031,,Electronics,Large,Briscoe,,,M,,999.1,1012.19,SUP153,2024-01-08,invalid_date,12.0,Y,,invalid_date,2025-09-29 00:00:00,ERP
PRD1059,Product_131,Furniture,,Living&Co,,Black,M,,,395.12,SUP120,2024-11-02,invalid_date,24.0,,N,2025-08-07,invalid_ts,
PRD1023,,Furniture,Large,Living&Co,M4019,,,,,,SUP124,,,12.0,Y,N,invalid_date,,ERP
PRD1068,,Furniture,Premium,,M1891,,S,,,1616.83,,2024-11-08,invalid_date,24.0,,Y,invalid_date,2024-05-03 00:00:00,
PRD1067,Product_134,,Small,Other,,Black,L,14.46,,,SUP102,2024-09-29,,24.0,N,Y,2024-08-08,,ERP
PRD1009,Product_135,,Small,Other,,,S,,,182.24,SUP108,invalid_date,invalid_date,24.0,N,Y,invalid_date,2025-07-31 00:00:00,ERP
PRD1082,Product_136,Furniture,,Briscoe,M606,Red,S,,,,SUP161,invalid_date,,,,,,invalid_ts,
PRD1124,Product_137,Electronics,Premium,,M3019,Red,L,,,2163.25,SUP44,invalid_date,2025-02-24,,,Y,2024-02-13,invalid_ts,
PRD1139,Product_138,Electronics,Large,,,Black,M,6.07,,,SUP141,,invalid_date,24.0,,,2025-10-12,2025-09-01 00:00:00,ERP
PRD1110,Product_139,Electronics,,Other,M2316,Red,M,15.49,651.2,,SUP137,,invalid_date,12.0,N,N,,,
PRD1005,,Furniture,,Other,M4527,Black,S,15.81,,957.93,SUP158,,invalid_date,36.0,,Y,invalid_date,invalid_ts,PIM
PRD1146,Product_141,,,Living&Co,,White,M,,,,SUP142,2024-05-22,2024-07-11,36.0,,,,2024-03-18 00:00:00,ERP
PRD1171,Product_142,Home,Small,Living&Co,M4558,Red,L,15.11,,,SUP49,2024-02-06,invalid_date,12.0,Y,Y,invalid_date,2024-05-31 00:00:00,
PRD1128,Product_143,Electronics,,Living&Co,,Red,M,7.09,431.39,1962.94,SUP11,2024-09-16,invalid_date,12.0,,Y,,invalid_ts,PIM
PRD1188,,Kitchen,Large,Living&Co,M2444,,L,16.17,1083.49,,,invalid_date,,36.0,,,invalid_date,,ERP
PRD1199,Product_145,Home,Small,Other,,White,L,,,,SUP183,invalid_date,invalid_date,,,Y,,,ERP
PRD1097,Product_146,Electronics,Large,Living&Co,,,S,,70.69,,,2025-11-04,2024-02-11,,,Y,,2024-11-20 00:00:00,PIM
PRD1025,,Furniture,Large,Briscoe,,White,L,,,,,invalid_date,,,Y,Y,,2024-12-05 00:00:00,ERP
PRD1144,,Furniture,Small,Other,,Red,S,18.29,1273.67,,SUP113,2024-09-04,invalid_date,12.0,,N,2025-01-30,,ERP
PRD1015,,Home,Large,Living&Co,M497,,,15.27,1169.3,,SUP51,,invalid_date,12.0,N,Y,invalid_date,2025-04-16 00:00:00,ERP
PRD1107,,Electronics,,Other,,Red,,12.78,,,,,,12.0,Y,Y,2025-02-01,2024-11-28 00:00:00,
PRD1017,,Furniture,Small,Other,M198,White,,,,,,2024-12-19,invalid_date,,,N,2025-10-18,2025-11-04 00:00:00,PIM
PRD1041,,,,Living&Co,M1056,Red,M,14.95,,1511.57,,2025-10-22,2025-05-12,36.0,N,Y,2024-01-10,,ERP
PRD1128,Product_153,Furniture,Small,Briscoe,,Red,,,,808.36,SUP74,invalid_date,invalid_date,12.0,Y,,invalid_date,2024-03-05 00:00:00,PIM
PRD1200,,Home,Small,Briscoe,M141,Black,S,,794.77,,,2025-11-25,2025-02-12,24.0,,Y,,2025-02-17 00:00:00,
PRD1149,Product_155,Furniture,Premium,,M4132,White,L,16.58,,2807.05,SUP3,,invalid_date,24.0,Y,N,2025-09-11,2024-08-10 00:00:00,ERP
PRD1077,,Home,,Briscoe,M2646,Red,M,16.08,,2911.93,,2025-04-05,,12.0,N,N,2025-07-10,invalid_ts,ERP
PRD1165,,Home,,,,Red,,1.55,,2764.08,SUP127,,invalid_date,,Y,,,,ERP
PRD1106,Product_158,Kitchen,Small,,M16,Red,S,14.09,,1480.31,SUP16,invalid_date,2025-02-15,24.0,,,,2024-11-21 00:00:00,PIM
PRD1148,,Electronics,Premium,Briscoe,,Black,,,1251.86,,,2024-03-31,2024-09-10,,,Y,,invalid_ts,
PRD1025,,,Small,Living&Co,,Black,L,14.2,,2224.76,,invalid_date,2024-06-20,36.0,Y,Y,2024-01-26,,ERP
PRD1157,Product_161,,Small,Other,,White,,,548.35,,SUP176,2024-06-04,invalid_date,24.0,,N,,invalid_ts,
PRD1097,,Furniture,Large,Other,,White,L,,,,SUP76,invalid_date,invalid_date,24.0,N,N,invalid_date,,
PRD1074,Product_163,,,Living&Co,,White,M,,321.06,,,,,,,Y,invalid_date,,PIM
PRD1075,Product_164,Home,,Briscoe,,White,,,1270.04,728.91,SUP33,invalid_date,invalid_date,,N,Y,invalid_date,,ERP
PRD1148,,Kitchen,Small,Living&Co,,Red,,11.35,,1024.39,SUP135,,invalid_date,,,N,,2024-05-09 00:00:00,ERP
PRD1112,Product_166,Furniture,Large,Living&Co,,White,L,3.68,,,,invalid_date,,,Y,Y,,,
PRD1119,,Electronics,Premium,,,White,L,2.34,1377.31,2079.54,,,invalid_date,36.0,N,N,2025-06-21,,PIM
PRD1023,Product_168,Kitchen,Premium,,M507,,S,3.39,1151.2,,,,,12.0,N,,,2024-11-24 00:00:00,
PRD1026,Product_169,Kitchen,,Other,,,L,1.06,,,,,invalid_date,,Y,Y,invalid_date,,
PRD1033,Product_170,Kitchen,Premium,Living&Co,M1735,White,M,,,2583.21,,,,24.0,N,N,,invalid_ts,ERP
PRD1136,Product_171,Kitchen,Small,Briscoe,,,S,,1376.85,2360.76,,2025-08-01,invalid_date,,,Y,,,
PRD1062,,Kitchen,,Briscoe,M1814,Red,S,19.43,238.28,694.63,,invalid_date,invalid_date,12.0,Y,N,,2024-06-12 00:00:00,PIM
PRD1030,,Furniture,Premium,Briscoe,,Black,,,,2829.97,SUP193,2025-09-09,,24.0,,Y,invalid_date,invalid_ts,
PRD1191,,Furniture,Large,Briscoe,,White,L,,570.16,1115.35,SUP161,2025-02-15,2025-02-19,36.0,,Y,,2024-06-30 00:00:00,
PRD1112,Product_175,Home,Large,Living&Co,,,,18.91,366.54,1422.19,,2024-03-17,,24.0,N,N,2024-02-07,,ERP
PRD1092,Product_176,,Premium,Living&Co,M2918,,L,,,,SUP24,invalid_date,2024-07-08,36.0,,Y,2025-07-31,,ERP
PRD1192,,Furniture,,Briscoe,,,M,9.73,,,SUP198,2024-02-09,,24.0,Y,Y,invalid_date,,
PRD1076,,Home,Large,,,White,M,8.13,,,,,invalid_date,,,Y,invalid_date,2025-06-28 00:00:00,PIM
PRD1188,,,Small,Briscoe,M1280,Black,S,,,,SUP66,invalid_date,2025-05-04,,N,Y,invalid_date,invalid_ts,ERP
PRD1126,,Electronics,Large,Other,M1414,White,L,,,346.25,SUP132,,,36.0,,,2024-12-12,invalid_ts,PIM
PRD1110,Product_181,,Premium,,,Red,S,,357.14,223.02,SUP149,,,12.0,,N,2025-07-20,2025-07-20 00:00:00,PIM
PRD1115,Product_182,Home,Small,Other,M4639,White,L,,509.68,,SUP169,,,36.0,N,,,invalid_ts,ERP
PRD1101,Product_183,Electronics,Small,Briscoe,M1221,Red,S,19.14,587.27,,SUP43,,,12.0,,N,,invalid_ts,
PRD1072,Product_184,,Premium,,M3518,Red,S,,708.23,2860.63,,,,,Y,,,2025-01-29 00:00:00,PIM
PRD1120,,,,Living&Co,M3337,Black,S,11.09,110.15,,,invalid_date,,24.0,,,2024-02-11,invalid_ts,ERP
PRD1119,Product_186,Kitchen,,,M4832,White,M,18.39,,1555.02,,invalid_date,,36.0,Y,,invalid_date,,ERP
PRD1138,,Kitchen,,,M529,Black,,6.88,,,,2024-02-02,invalid_date,24.0,Y,Y,2025-08-22,,
PRD1044,Product_188,,,Briscoe,M886,,M,,632.8,2377.55,,invalid_date,,,Y,,2024-01-29,invalid_ts,
PRD1160,Product_189,Furniture,Small,,M469,Red,M,,,,,invalid_date,invalid_date,,,N,2025-07-30,invalid_ts,
PRD1109,Product_190,Electronics,Small,,M4689,,S,,,,,2025-09-11,invalid_date,12.0,,,2024-01-28,invalid_ts,PIM
PRD1082,Product_191,Kitchen,,Living&Co,M172,Red,M,19.81,,178.38,SUP20,2025-01-22,2024-05-04,12.0,N,,2024-02-15,invalid_ts,ERP
PRD1142,Product_192,Home,,Living&Co,M2286,Red,,,539.2,,SUP67,2025-04-24,2025-03-15,24.0,Y,,invalid_date,2024-01-24 00:00:00,PIM
PRD1134,,Furniture,,,,White,,,,2822.58,SUP158,invalid_date,2024-08-20,,,,invalid_date,2025-02-06 00:00:00,
PRD1094,Product_194,Furniture,,,M3101,Black,,,,1689.64,SUP180,invalid_date,,36.0,Y,Y,2024-05-01,2024-03-09 00:00:00,
PRD1069,,Electronics,Small,,,White,,13.97,,,,2024-09-11,2024-10-30,24.0,Y,,,2025-11-29 00:00:00,ERP
PRD1028,Product_196,Kitchen,Large,,M1871,Red,L,,801.96,,,invalid_date,,36.0,,,,2024-04-18 00:00:00,PIM
PRD1193,Product_197,Kitchen,Large,Living&Co,M3460,Black,L,,443.23,656.6,,2024-08-02,invalid_date,36.0,,Y,invalid_date,2025-02-07 00:00:00,PIM
PRD1150,,,Premium,Briscoe,,White,,7.82,138.39,868.5,,invalid_date,2025-10-30,,,,2025-08-12,,
PRD1071,Product_199,Home,Large,Briscoe,M1842,Red,S,18.0,,,SUP57,2025-12-01,invalid_date,12.0,N,Y,,,ERP
PRD1009,Product_200,,Premium,,,Black,,,,,,2024-09-21,,36.0,,Y,invalid_date,2025-06-27 00:00:00,
PRD1071,,,Premium,Living&Co,,Black,M,2.1,,,SUP168,,invalid_date,24.0,Y,,2024-03-29,invalid_ts,
