transaction_id,store_id,terminal_id,product_id,quantity,unit_price,discount,tax,payment_type,currency,promo_code,cashier_id,is_return,return_reason,channel,gross_amount,net_amount,transaction_ts,load_date,source_system
TXN003216,STR020,T2,,,,212.22,51.32,,NZD,,EMP407,N,CANCELLED,STORE,3150.0,3393.02,2024-02-09 00:00:00,2025-09-12,OMS
TXN001469,,T5,,,1992.87,77.11,,WALLET,,SALE10,,N,CANCELLED,ONLINE,1528.89,,,,POS
TXN006079,STR006,T4,,-2.0,2432.6,3.29,,,,DISC20,EMP210,,CANCELLED,STORE,1055.11,2130.27,invalid_ts,2025-04-07,
TXN006453,,T3,,,122.97,,,CASH,NZD,DISC20,EMP224,,,ONLINE,,3935.9,,invalid_date,
TXN002453,,,,-2.0,,167.96,,,AUD,,,N,,ONLINE,2248.28,1026.89,2024-01-26 00:00:00,invalid_date,OMS
TXN001913,,,PRD1025,4.0,,,,UPI,,DISC20,EMP190,N,DAMAGED,ONLINE,,558.59,,2024-04-23,POS
TXN007647,STR021,,,-2.0,,279.02,242.73,,,DISC20,,N,,STORE,,3156.3,invalid_ts,2024-05-20,POS
TXN000568,,,,4.0,2838.92,185.24,,CASH,AUD,,EMP390,Y,,ONLINE,2858.22,,invalid_ts,2024-09-05,POS
TXN004501,STR008,T5,,-2.0,,73.31,,WALLET,,SALE10,,,CANCELLED,STORE,,,,invalid_date,
TXN006643,STR010,,,-2.0,1822.43,,14.52,CARD,,SALE10,,N,,ONLINE,2872.47,4099.12,,,OMS
TXN005569,STR018,,,-2.0,,,129.71,CASH,NZD,,EMP353,Y,CANCELLED,,,2657.82,2025-07-11 00:00:00,,OMS
TXN007383,STR020,,PRD1071,3.0,887.36,72.53,,UPI,NZD,,,N,CANCELLED,STORE,,,invalid_ts,invalid_date,
TXN004810,STR025,,PRD1038,3.0,,,,WALLET,,SALE10,EMP284,Y,DAMAGED,ONLINE,,,invalid_ts,2025-11-26,OMS
TXN007473,,,,-2.0,,,285.91,CARD,AUD,DISC20,EMP409,,CANCELLED,STORE,,3391.73,invalid_ts,2024-10-21,POS
TXN004734,,T2,PRD1104,,,88.12,,CARD,,,,N,CANCELLED,ONLINE,1404.63,2837.58,,2024-07-27,POS
TXN006411,,T2,PRD1070,5.0,2873.28,255.16,,,AUD,,,N,CANCELLED,ONLINE,322.56,,invalid_ts,2025-07-04,
TXN001029,,T5,,,855.8,,,CASH,NZD,,,Y,,ONLINE,,,invalid_ts,,
TXN007940,STR022,T2,,2.0,1285.35,,289.62,,NZD,,EMP482,N,CANCELLED,ONLINE,3943.97,,,,
TXN007976,,T3,PRD1030,,1809.62,,34.18,CASH,,DISC20,,,,STORE,,,,,OMS
TXN000594,STR007,T1,,,2882.28,22.74,,,,DISC20,,Y,,STORE,311.41,,2025-05-04 00:00:00,2025-11-02,OMS
TXN000573,STR008,T2,PRD1010,5.0,,,,,NZD,DISC20,EMP220,N,,ONLINE,2640.11,3696.59,invalid_ts,invalid_date,POS
TXN005749,,,,,,79.24,,,,SALE10,EMP243,N,CANCELLED,ONLINE,,,2024-03-19 00:00:00,,POS
TXN000797,,T2,PRD1018,-2.0,835.29,,,UPI,,,EMP332,Y,DAMAGED,ONLINE,,4812.31,2025-07-12 00:00:00,invalid_date,
TXN003316,,,PRD1057,,,,,CARD,NZD,,,N,CANCELLED,ONLINE,898.49,,,,
TXN006606,STR028,T6,PRD1092,4.0,1770.02,,,CARD,NZD,SALE10,,,DAMAGED,,,913.18,,2024-07-25,
TXN005391,STR020,,PRD1196,2.0,2256.32,210.45,254.95,,AUD,SALE10,,N,DAMAGED,STORE,4529.62,,invalid_ts,2025-02-02,
TXN002330,,T2,,2.0,2756.21,,167.88,UPI,AUD,,,Y,,ONLINE,4858.94,2189.75,invalid_ts,invalid_date,OMS
TXN001354,STR004,,,3.0,528.54,133.72,,,,DISC20,EMP8,,CANCELLED,,4460.95,2467.23,2024-12-26 00:00:00,2025-07-27,
TXN003262,STR027,,PRD1112,1.0,1900.45,21.82,292.44,,AUD,DISC20,,Y,,STORE,,,2024-03-13 00:00:00,,
TXN007010,,,PRD1101,,,34.23,149.56,CARD,NZD,DISC20,,Y,DAMAGED,STORE,3123.13,,2024-05-24 00:00:00,,
TXN002081,,T1,PRD1051,1.0,2269.25,,,,NZD,DISC20,,,,STORE,,,,2025-02-02,
TXN005655,,T2,,-2.0,1569.87,,156.5,UPI,AUD,SALE10,,Y,CANCELLED,,,,2024-12-25 00:00:00,,
TXN001988,STR010,,PRD1107,-2.0,282.95,108.92,,WALLET,AUD,DISC20,,,CANCELLED,STORE,1345.81,430.68,invalid_ts,2025-04-11,
TXN007486,STR001,T6,PRD1155,3.0,,280.22,,WALLET,NZD,DISC20,EMP182,N,CANCELLED,ONLINE,2976.76,,2024-06-13 00:00:00,invalid_date,
TXN000586,STR021,,PRD1116,-2.0,,,285.3,CASH,AUD,DISC20,EMP156,Y,CANCELLED,STORE,,979.6,2024-12-15 00:00:00,,
TXN000726,STR022,T4,,2.0,,228.15,,,NZD,,EMP244,N,,ONLINE,2397.1,4921.51,invalid_ts,invalid_date,POS
TXN003419,STR001,,PRD1126,1.0,,,,,,DISC20,,N,,ONLINE,,3122.24,,invalid_date,
TXN006386,STR018,T2,,-2.0,1690.41,,,,NZD,SALE10,EMP350,,DAMAGED,,,3244.53,invalid_ts,2025-03-22,OMS
TXN004490,,T6,,-2.0,,108.4,189.3,UPI,AUD,,,,CANCELLED,ONLINE,4328.97,,invalid_ts,invalid_date,
TXN006162,STR004,T5,PRD1141,,,148.05,97.71,,,,EMP448,Y,,ONLINE,,,invalid_ts,2024-09-01,OMS
TXN004447,,T6,PRD1031,-2.0,,,,CASH,NZD,SALE10,,Y,,,4818.09,193.34,,2024-03-16,OMS
TXN004035,,,PRD1079,,779.89,108.0,287.81,UPI,,DISC20,,Y,DAMAGED,STORE,,796.42,invalid_ts,2025-03-17,OMS
TXN004593,STR011,,,2.0,2854.02,,230.98,,AUD,DISC20,,,CANCELLED,,,,invalid_ts,2024-03-26,POS
TXN001206,,T2,,4.0,,265.08,,CARD,NZD,SALE10,,N,DAMAGED,ONLINE,2135.78,1913.59,,,
TXN007751,STR002,,PRD1049,,,51.07,,WALLET,NZD,,EMP63,Y,CANCELLED,STORE,2009.33,,2024-11-07 00:00:00,invalid_date,POS
TXN003033,STR018,,,-2.0,2067.96,,,UPI,,,,,DAMAGED,STORE,,1234.5,invalid_ts,2025-02-20,POS
TXN003700,,,PRD1103,-2.0,388.75,,,WALLET,AUD,DISC20,,Y,DAMAGED,ONLINE,1261.05,1418.14,2024-01-14 00:00:00,2025-03-12,
TXN003340,,T5,,,,,,WALLET,AUD,SALE10,EMP441,N,,ONLINE,3584.31,1226.67,invalid_ts,2024-03-03,POS
TXN000104,,T2,,4.0,1040.58,,272.22,UPI,NZD,DISC20,EMP406,N,CANCELLED,,,,,2024-12-25,
TXN001918,,,PRD1098,,,,37.39,CARD,NZD,DISC20,EMP462,N,,,,,2025-07-07 00:00:00,2025-03-12,OMS
TXN000054,STR021,T5,PRD1200,-2.0,2552.76,,,CARD,,DISC20,,,CANCELLED,ONLINE,,,2025-08-05 00:00:00,invalid_date,
TXN007300,STR017,T1,,2.0,1208.15,27.48,,UPI,,,,N,DAMAGED,,129.65,,,2025-05-20,
TXN002797,STR010,T6,,,,20.26,,CARD,AUD,DISC20,EMP79,Y,DAMAGED,STORE,2709.63,4003.57,invalid_ts,2025-11-02,OMS
TXN005693,STR022,T5,,-2.0,,,208.71,,NZD,,EMP10,Y,,,2997.66,,2025-07-24 00:00:00,invalid_date,OMS
TXN003229,,,,,217.59,236.62,45.44,CARD,AUD,,,N,,ONLINE,,,,,OMS
TXN003931,STR027,,,-2.0,978.01,,,CASH,NZD,DISC20,EMP413,,CANCELLED,ONLINE,,,invalid_ts,2024-09-20,OMS
TXN003901,,,,1.0,2212.31,117.12,,CASH,NZD,SALE10,,,CANCELLED,STORE,2945.43,2457.53,2025-08-10 00:00:00,,OMS
TXN003631,,T3,PRD1007,-2.0,,243.31,34.83,CARD,AUD,,EMP44,Y,,STORE,,1345.03,2024-08-28 00:00:00,invalid_date,POS
TXN003927,STR014,,,4.0,,,117.23,UPI,,,,Y,,ONLINE,1008.23,,,,OMS
TXN004570,,T5,,,1360.24,,239.08,UPI,AUD,DISC20,,N,CANCELLED,,2686.19,397.11,,2025-08-10,POS
TXN003551,STR020,T4,PRD1165,,,,139.32,UPI,AUD,SALE10,,N,CANCELLED,ONLINE,2676.79,,,2025-11-04,
TXN003505,,,PRD1164,-2.0,,,118.83,WALLET,AUD,DISC20,EMP297,N,CANCELLED,STORE,2047.34,4017.76,invalid_ts,2025-10-11,OMS
TXN003776,STR006,T2,,,552.06,268.83,201.09,WALLET,AUD,DISC20,,N,CANCELLED,,,3806.3,,2024-11-09,POS
TXN000138,STR008,,PRD1132,1.0,1921.4,,291.69,CARD,NZD,SALE10,,,DAMAGED,,,,invalid_ts,invalid_date,OMS
TXN007919,,,,,,,,,AUD,,EMP169,N,CANCELLED,ONLINE,3457.75,2600.31,,,
TXN006943,STR003,T6,,,1380.19,,,CASH,AUD,DISC20,,,DAMAGED,STORE,1453.41,,invalid_ts,,OMS
TXN002675,,,PRD1014,-2.0,2670.95,193.95,,WALLET,,,,Y,CANCELLED,ONLINE,,,invalid_ts,invalid_date,OMS
TXN004992,STR007,,PRD1071,-2.0,,107.28,,UPI,AUD,SALE10,,,CANCELLED,ONLINE,,,2024-09-21 00:00:00,2025-05-16,
TXN006655,STR011,,PRD1043,-2.0,2234.63,,244.5,CARD,,,EMP15,N,,,,,,,OMS
TXN004120,STR020,T6,PRD1008,-2.0,1135.88,,290.31,CARD,AUD,DISC20,EMP100,Y,DAMAGED,STORE,4043.22,,2024-01-05 00:00:00,,POS
TXN006347,STR002,T5,,-2.0,1375.4,5.12,179.45,CASH,,,,Y,DAMAGED,ONLINE,,,invalid_ts,invalid_date,
TXN007457,,T6,PRD1001,3.0,,135.66,,WALLET,,SALE10,,Y,CANCELLED,STORE,,4954.31,2024-06-02 00:00:00,invalid_date,
TXN000674,STR026,T4,,2.0,,77.96,148.68,CASH,AUD,DISC20,,,CANCELLED,ONLINE,1209.8,,2024-10-20 00:00:00,2025-07-28,OMS
TXN001649,,T3,PRD1188,-2.0,2616.26,298.76,276.2,CARD,,,EMP88,Y,,ONLINE,,758.93,2025-06-15 00:00:00,2024-07-25,POS
TXN003823,,T2,,,1170.99,,,CASH,NZD,DISC20,EMP349,Y,,STORE,4792.63,,2024-10-12 00:00:00,2025-11-02,OMS
TXN003576,,T4,,,,,,WALLET,AUD,SALE10,,,CANCELLED,STORE,4342.4,401.28,,invalid_date,POS
TXN003402,STR021,,PRD1082,,388.17,288.99,,WALLET,,DISC20,,Y,DAMAGED,,,4799.25,invalid_ts,2025-08-19,
TXN007146,STR021,,PRD1108,-2.0,,116.65,,CARD,NZD,DISC20,EMP491,N,,STORE,,,invalid_ts,,POS
TXN003775,,,,1.0,529.33,65.24,229.5,UPI,NZD,,,N,CANCELLED,STORE,,,,,POS
TXN003712,,,,-2.0,1347.12,296.53,,CARD,,,EMP129,,DAMAGED,,,,,,
TXN005318,STR013,T6,,,,202.87,,CASH,,SALE10,,N,CANCELLED,,2120.25,2060.67,invalid_ts,2025-05-23,OMS
TXN002448,STR010,,PRD1096,-2.0,1471.01,281.94,115.35,CASH,AUD,DISC20,EMP68,Y,CANCELLED,STORE,,3815.25,invalid_ts,,POS
TXN001758,,T5,,1.0,,,,CARD,AUD,SALE10,EMP210,N,CANCELLED,ONLINE,2817.36,,invalid_ts,2024-06-29,OMS
TXN005775,,,PRD1167,4.0,,215.05,144.8,CASH,,SALE10,EMP7,Y,DAMAGED,STORE,,,,invalid_date,
TXN002807,STR011,,,5.0,1554.06,,282.13,WALLET,AUD,SALE10,EMP412,Y,,,,697.1,,invalid_date,
TXN001706,,T3,,5.0,2917.03,279.34,261.18,,,DISC20,EMP28,,CANCELLED,ONLINE,4719.37,,2024-07-03 00:00:00,2024-01-27,
TXN001578,,,,,,95.82,,CASH,AUD,DISC20,EMP306,Y,,,3636.72,1707.19,invalid_ts,,OMS
TXN000753,STR011,,PRD1068,-2.0,,,,CARD,,SALE10,EMP325,Y,,,,515.16,2025-01-03 00:00:00,2024-04-27,
TXN003111,STR022,,,2.0,518.77,28.64,,CARD,AUD,,EMP350,,DAMAGED,,,,invalid_ts,2024-12-10,OMS
TXN006318,STR029,,PRD1150,,1911.51,139.48,92.12,WALLET,,DISC20,,Y,DAMAGED,ONLINE,,3016.82,,invalid_date,OMS
TXN007391,STR029,T5,PRD1003,1.0,1538.63,,,UPI,,DISC20,EMP173,,,ONLINE,1008.44,,,2024-07-20,
TXN003080,,T4,PRD1087,2.0,,,134.85,,NZD,,EMP76,,DAMAGED,,,4675.19,invalid_ts,invalid_date,POS
TXN003368,STR012,,,,461.1,75.72,64.52,CASH,,,,Y,DAMAGED,,,,2024-07-14 00:00:00,2024-04-27,POS
TXN001029,,T1,,,,,,CASH,NZD,DISC20,,Y,CANCELLED,,490.91,1742.85,,invalid_date,POS
TXN005473,,T4,PRD1077,2.0,565.55,,228.49,CARD,AUD,,,Y,CANCELLED,,452.83,832.93,2024-04-28 00:00:00,invalid_date,
TXN006150,,T6,,5.0,,,,UPI,NZD,,EMP361,N,,ONLINE,2922.49,,,,POS
TXN006669,,T2,,5.0,372.96,166.53,,,AUD,SALE10,,Y,CANCELLED,,,1047.42,,2025-11-21,POS
TXN004498,,,,-2.0,1240.75,29.82,,CARD,,,EMP115,,,,,,,2025-08-05,POS
TXN000843,,T6,,5.0,2448.44,,,,,SALE10,EMP375,,CANCELLED,,3983.01,,invalid_ts,2024-04-04,POS
TXN007513,STR024,,,,2817.16,,,UPI,NZD,,EMP496,Y,,,4307.72,1248.06,,invalid_date,POS
TXN007880,STR024,,PRD1113,,470.16,,,CARD,AUD,DISC20,,Y,,ONLINE,1094.73,,2025-11-07 00:00:00,,POS
TXN000663,STR003,T2,,,1399.57,270.82,,UPI,AUD,SALE10,EMP479,,DAMAGED,,4553.03,,invalid_ts,invalid_date,POS
TXN001998,,,,,437.85,,127.31,CASH,,,,N,DAMAGED,ONLINE,4607.64,3906.57,invalid_ts,2025-06-16,OMS
TXN004875,STR018,T2,PRD1034,-2.0,1069.61,,,UPI,AUD,DISC20,,,,STORE,,2184.85,invalid_ts,,OMS
TXN001638,,T4,PRD1055,5.0,671.04,221.16,,,AUD,SALE10,EMP158,Y,DAMAGED,,2072.27,2811.85,,2024-05-14,OMS
TXN002466,STR029,,PRD1191,5.0,2100.4,,,WALLET,,DISC20,,,DAMAGED,,,4490.8,2025-09-03 00:00:00,,OMS
TXN004610,,T3,,-2.0,336.26,262.84,,CARD,AUD,,EMP271,Y,,ONLINE,3898.96,,2025-02-05 00:00:00,,POS
TXN003479,,,PRD1177,3.0,551.38,,291.85,WALLET,NZD,SALE10,EMP352,N,DAMAGED,STORE,,4271.48,2024-06-28 00:00:00,2024-08-05,POS
TXN007989,,T4,PRD1125,,946.72,59.96,,CARD,,DISC20,,,DAMAGED,STORE,,,,2024-10-15,
TXN003487,,T6,PRD1099,-2.0,1779.95,69.55,243.74,,AUD,SALE10,,,,,2095.12,,2025-01-15 00:00:00,,POS
TXN002114,STR022,,,3.0,2128.49,,221.98,CARD,NZD,SALE10,EMP90,Y,CANCELLED,STORE,4372.61,,2024-04-14 00:00:00,invalid_date,
TXN005879,,,PRD1103,2.0,2402.2,213.38,,CASH,,SALE10,EMP492,Y,DAMAGED,ONLINE,2949.57,,2025-05-20 00:00:00,,POS
TXN001867,,T1,,4.0,,,117.28,CARD,NZD,,,N,CANCELLED,STORE,,1320.52,invalid_ts,invalid_date,POS
TXN005730,STR027,T2,,4.0,,274.31,,WALLET,NZD,SALE10,,N,CANCELLED,STORE,4771.2,1701.07,invalid_ts,2025-03-22,POS
TXN003991,,T4,,-2.0,,120.15,,CASH,AUD,DISC20,,Y,,,,2067.37,invalid_ts,invalid_date,POS
TXN001738,,T1,,,,57.63,284.21,WALLET,AUD,,EMP321,N,,STORE,,3148.44,invalid_ts,2024-07-01,OMS
TXN001321,,,,4.0,,132.9,,WALLET,,,,,,ONLINE,2497.49,,2024-06-09 00:00:00,invalid_date,OMS
TXN002911,STR012,,PRD1171,,2601.37,4.26,43.24,,NZD,DISC20,EMP494,Y,,STORE,,,invalid_ts,invalid_date,OMS
TXN005426,,T3,,,2925.64,,94.41,CARD,,,,,CANCELLED,,,3673.41,invalid_ts,invalid_date,OMS
TXN001295,STR003,,PRD1080,-2.0,2296.07,,27.71,CARD,AUD,SALE10,,Y,DAMAGED,ONLINE,1231.21,,,invalid_date,
TXN007964,STR010,,,-2.0,1694.87,266.86,295.94,,NZD,DISC20,EMP440,Y,,ONLINE,,4971.19,invalid_ts,2024-09-12,POS
TXN001536,STR008,,PRD1070,1.0,2220.55,,,WALLET,,DISC20,EMP405,Y,DAMAGED,,1331.25,4364.87,invalid_ts,2025-07-23,OMS
TXN002488,STR002,,PRD1141,,1589.75,,,CASH,NZD,,EMP357,,DAMAGED,,2433.41,4170.49,,,POS
TXN002230,STR023,,,,,,67.68,,,,EMP238,N,CANCELLED,,,,invalid_ts,,POS
TXN007042,,,,5.0,,,,UPI,NZD,SALE10,,Y,DAMAGED,STORE,2281.61,,invalid_ts,invalid_date,OMS
TXN002932,,,PRD1041,5.0,207.69,,216.17,CASH,AUD,,EMP190,N,DAMAGED,,,3579.54,invalid_ts,2025-08-16,OMS
TXN000648,STR029,T6,PRD1099,-2.0,1506.27,25.97,73.36,UPI,,,,,CANCELLED,,912.7,2503.68,,2024-08-13,
TXN005369,,,,-2.0,,,,CASH,,DISC20,,N,DAMAGED,STORE,3456.55,218.41,invalid_ts,2024-08-17,
TXN005136,STR003,T6,,,,,240.76,WALLET,NZD,DISC20,,Y,DAMAGED,ONLINE,3840.32,1164.09,invalid_ts,2025-01-16,
TXN005171,STR023,,,-2.0,2081.78,194.24,,UPI,NZD,DISC20,EMP72,N,DAMAGED,,,2231.18,invalid_ts,invalid_date,
TXN004297,,T1,,1.0,1423.44,137.8,,CASH,,,,N,,STORE,4733.29,,2024-10-22 00:00:00,invalid_date,
TXN006739,STR027,,,,,,,,NZD,,,N,,ONLINE,4900.06,3492.42,2024-02-16 00:00:00,2025-05-10,POS
TXN002854,,T1,PRD1023,4.0,,,,UPI,AUD,SALE10,EMP134,,,STORE,,,,2024-03-09,POS
TXN002419,,T1,PRD1028,-2.0,2652.94,123.97,,UPI,AUD,,,,,STORE,,2127.58,invalid_ts,invalid_date,POS
TXN006079,STR003,T2,PRD1020,,1542.84,,,,,SALE10,EMP412,N,CANCELLED,STORE,3272.85,3460.41,2024-02-07 00:00:00,invalid_date,
TXN005221,STR024,,PRD1182,-2.0,1147.6,,,CASH,AUD,,EMP64,Y,CANCELLED,ONLINE,2248.67,,,invalid_date,
TXN000542,STR002,T5,,4.0,,,110.88,CASH,NZD,,,N,DAMAGED,,,,2024-08-29 00:00:00,,POS
TXN007746,STR012,T5,PRD1028,-2.0,,,,WALLET,,,,Y,CANCELLED,,,,2024-05-11 00:00:00,invalid_date,
TXN005929,STR004,T5,PRD1008,4.0,,,226.54,CARD,AUD,SALE10,,N,CANCELLED,,,,,invalid_date,
TXN000331,,,,4.0,157.38,,,WALLET,NZD,,,,DAMAGED,ONLINE,3669.84,2962.07,,2024-02-04,
TXN006744,,,,,,9.28,,,AUD,DISC20,EMP391,N,,,,,invalid_ts,2024-03-15,OMS
TXN002964,STR018,T6,PRD1109,-2.0,,82.61,126.56,CASH,AUD,SALE10,,N,DAMAGED,ONLINE,1373.8,2487.08,2024-06-16 00:00:00,,POS
TXN003039,,T4,PRD1030,,,183.85,230.91,CARD,NZD,DISC20,,Y,CANCELLED,ONLINE,3767.31,,invalid_ts,2025-05-21,POS
TXN002962,,,PRD1055,-2.0,,22.75,,CASH,,SALE10,EMP362,N,,,,,,2025-01-16,OMS
TXN005696,STR029,,,-2.0,,173.17,,,AUD,SALE10,,N,,,,4741.96,2025-06-04 00:00:00,2024-05-22,
TXN003320,,,,4.0,,287.19,132.03,CARD,,,,,CANCELLED,ONLINE,4790.96,,invalid_ts,,
TXN002551,STR029,T4,,-2.0,,240.22,134.57,UPI,,DISC20,EMP101,,,,3206.64,,2025-01-25 00:00:00,,POS
TXN003430,STR029,,,4.0,2734.41,,85.46,,AUD,,,N,DAMAGED,ONLINE,3780.17,3779.41,2025-07-06 00:00:00,,
TXN004464,STR004,T3,,,,,133.64,,,,,N,CANCELLED,,,3836.66,2025-09-16 00:00:00,,
TXN007402,STR009,,,-2.0,1428.56,209.73,214.12,CASH,NZD,SALE10,,,,,1680.0,,,,OMS
TXN003004,STR010,T4,,,2073.46,69.8,186.47,CASH,,DISC20,EMP190,,DAMAGED,STORE,1302.07,931.84,invalid_ts,,
TXN005616,,,,,1582.44,,,CASH,,SALE10,EMP367,N,,,,,2024-07-25 00:00:00,,POS
TXN000594,,T1,PRD1153,,1141.38,,,WALLET,NZD,SALE10,,Y,DAMAGED,ONLINE,,,,,POS
TXN002432,STR009,T5,PRD1168,1.0,830.28,,,WALLET,AUD,DISC20,EMP303,,DAMAGED,ONLINE,,,,invalid_date,
TXN002254,STR014,,PRD1192,,,,138.88,,NZD,,EMP339,,DAMAGED,ONLINE,3365.78,,,2024-09-07,POS
TXN001962,,T4,PRD1117,-2.0,,,,CARD,,,,N,DAMAGED,STORE,,411.79,,,POS
TXN002529,,T1,PRD1173,5.0,1073.48,,229.36,WALLET,,DISC20,EMP427,N,CANCELLED,STORE,1417.63,,invalid_ts,,OMS
TXN002009,STR014,T2,PRD1048,,1045.28,252.8,57.73,UPI,AUD,DISC20,,N,DAMAGED,,,,invalid_ts,invalid_date,POS
TXN003482,STR005,T4,PRD1008,,,26.66,,WALLET,NZD,SALE10,EMP170,N,DAMAGED,STORE,3454.1,1845.83,invalid_ts,invalid_date,POS
TXN003596,STR019,T6,,,564.83,45.71,,,NZD,DISC20,,N,,ONLINE,,845.44,2024-10-08 00:00:00,,POS
TXN003578,,,PRD1155,,,,143.03,CARD,NZD,SALE10,,Y,CANCELLED,ONLINE,1036.47,,invalid_ts,2025-08-17,POS
TXN000076,STR027,,PRD1169,5.0,,,20.24,CASH,AUD,,,Y,CANCELLED,ONLINE,,4734.73,,invalid_date,OMS
TXN006760,STR029,,PRD1150,1.0,2064.25,283.99,154.16,CASH,,SALE10,EMP87,,CANCELLED,STORE,,,2025-07-27 00:00:00,,
TXN005537,,,PRD1087,3.0,,22.64,166.09,CARD,NZD,DISC20,,Y,DAMAGED,STORE,1434.02,2237.4,,invalid_date,POS
TXN002625,,T2,PRD1022,-2.0,,34.82,,CASH,AUD,DISC20,EMP126,N,CANCELLED,ONLINE,2061.65,,invalid_ts,2024-12-17,POS
TXN006742,,T3,PRD1149,-2.0,,212.21,191.82,WALLET,NZD,,EMP142,N,CANCELLED,STORE,3025.38,,,,POS
TXN004683,,,,,2332.1,138.16,,UPI,AUD,DISC20,EMP317,N,DAMAGED,,413.64,,2025-05-19 00:00:00,invalid_date,OMS
TXN007104,STR027,T6,,,,,203.72,WALLET,,SALE10,EMP170,N,,STORE,,928.18,,,
