inventory_id,store_id,product_id,available_qty,reserved_qty,damaged_qty,in_transit_qty,reorder_level,warehouse_id,supplier_id,stock_status,last_stocked_date,expiry_date,batch_no,cost_price,mrp,is_active,snapshot_ts,load_date,source_system
INV004142,,,,10.0,,,,,SUP28,LOW,,invalid_date,,1240.42,,,,invalid_date,ERP
INV003985,,,-10.0,,,87.0,,WH3,,AVAILABLE,invalid_date,,B349,,,Y,2025-03-28 00:00:00,invalid_date,WMS
INV003084,STR002,,-10.0,49.0,1.0,,98.0,WH3,,LOW,,,,,,Y,,,ERP
INV003935,,,-10.0,20.0,18.0,26.0,98.0,WH4,,,,invalid_date,,863.05,,,,,WMS
INV006717,,,,26.0,9.0,,,WH4,,LOW,,,,,,N,invalid_ts,,
INV004896,,PRD1041,-10.0,,18.0,,,,SUP154,AVAILABLE,2024-11-11,invalid_date,,971.37,2853.17,,2025-03-15 00:00:00,,WMS
INV000822,STR027,PRD1106,-10.0,,,,,WH1,,AVAILABLE,2024-01-10,,B483,,,Y,invalid_ts,invalid_date,WMS
INV006493,,,395.0,,,,74.0,,,AVAILABLE,invalid_date,,,,,N,2024-04-01 00:00:00,,WMS
INV001268,STR025,,466.0,,7.0,,,WH2,SUP41,,2024-01-06,,B467,1056.89,998.09,,2024-01-12 00:00:00,,ERP
INV001043,STR003,,,,,,,,,LOW,,invalid_date,,,2404.49,Y,,invalid_date,WMS
INV005628,,,-10.0,43.0,14.0,,,WH1,SUP26,AVAILABLE,invalid_date,,B400,,,Y,invalid_ts,2024-01-25,WMS
INV004276,STR009,PRD1200,365.0,42.0,1.0,71.0,,,,AVAILABLE,,2024-01-17,,,,N,2025-09-05 00:00:00,,WMS
INV002160,,,-10.0,,3.0,36.0,,,,LOW,2024-08-23,invalid_date,B83,637.57,1493.63,Y,,,
INV004655,STR015,PRD1067,-10.0,,9.0,85.0,50.0,,SUP97,LOW,2024-03-09,invalid_date,B7,,,,invalid_ts,2024-02-01,
INV003704,,,,25.0,2.0,,,,SUP138,OUT,invalid_date,,B482,,,,invalid_ts,,ERP
INV003693,,,43.0,,1.0,,38.0,,,LOW,2025-08-14,invalid_date,,,,N,,invalid_date,
INV005010,STR007,,,37.0,,92.0,48.0,WH3,,LOW,,invalid_date,B19,,,,invalid_ts,2024-11-09,ERP
INV001811,STR010,,339.0,46.0,4.0,,93.0,WH5,,,2024-05-09,,B448,,,N,2024-05-16 00:00:00,invalid_date,
INV003307,,PRD1182,,38.0,17.0,2.0,,,,OUT,,,,723.49,2427.44,,,2025-02-26,
INV005133,STR005,PRD1195,-10.0,,,50.0,,WH1,SUP47,AVAILABLE,2025-01-23,invalid_date,B185,832.79,2714.95,N,2025-08-19 00:00:00,,WMS
INV006183,STR029,,-10.0,7.0,7.0,,,WH4,SUP2,,2024-10-09,invalid_date,B77,685.07,1658.86,,,invalid_date,
INV002812,,PRD1002,363.0,46.0,,5.0,77.0,,,AVAILABLE,invalid_date,,B301,1322.52,125.6,Y,invalid_ts,,WMS
INV005151,STR004,PRD1121,,24.0,,22.0,80.0,WH1,,OUT,,invalid_date,,823.7,,N,2024-12-29 00:00:00,,WMS
INV004944,STR020,PRD1040,326.0,,11.0,68.0,71.0,WH4,,,,2024-06-26,,694.54,,N,invalid_ts,2024-08-06,WMS
INV001546,STR025,PRD1095,397.0,,17.0,,78.0,,,LOW,,invalid_date,,1276.58,,N,,2025-06-08,ERP
INV003693,,,,,7.0,54.0,58.0,,SUP78,,,2025-07-07,,1455.11,,Y,,,
INV004075,STR023,,202.0,,15.0,,38.0,,SUP17,,,2024-10-22,,116.79,2353.44,Y,2025-03-24 00:00:00,2024-03-21,
INV005263,STR022,,-10.0,,,25.0,24.0,WH2,SUP110,AVAILABLE,invalid_date,2025-07-10,B325,1329.02,2604.63,N,2025-01-31 00:00:00,invalid_date,WMS
INV001017,STR001,,442.0,7.0,16.0,,71.0,,SUP124,,invalid_date,invalid_date,,,,,2025-08-26 00:00:00,,ERP
INV002646,STR005,PRD1139,-10.0,41.0,,,,WH5,SUP62,,invalid_date,2024-07-06,,873.13,886.28,N,,2024-09-12,
INV000967,STR025,PRD1003,,,20.0,,,WH4,,LOW,invalid_date,2025-04-30,B250,,202.37,N,invalid_ts,invalid_date,WMS
INV002386,,,-10.0,,5.0,,64.0,,,AVAILABLE,,2024-09-06,,,2133.01,N,2025-05-22 00:00:00,invalid_date,
INV003437,STR026,PRD1153,-10.0,,,,90.0,WH1,SUP38,,invalid_date,invalid_date,,,2050.08,Y,,invalid_date,ERP
INV006062,,PRD1062,134.0,21.0,14.0,64.0,,,SUP128,LOW,,2024-03-09,B253,212.82,2866.32,N,2024-09-14 00:00:00,invalid_date,
INV004660,,,409.0,,,25.0,37.0,WH4,SUP25,,,2024-06-11,,419.49,,,2024-08-13 00:00:00,invalid_date,ERP
INV000649,,,,11.0,,90.0,,WH5,,,invalid_date,2025-09-13,,,,,2024-02-09 00:00:00,,
INV004180,,,,,,,46.0,WH5,SUP137,AVAILABLE,,2025-06-10,,,,,2024-11-05 00:00:00,,ERP
INV002336,,PRD1166,490.0,1.0,,4.0,80.0,WH1,,OUT,,2024-03-22,,,,,2025-07-16 00:00:00,,WMS
INV002281,,PRD1023,,,0.0,,43.0,,,,invalid_date,invalid_date,B28,1231.24,,N,,,
INV001113,,PRD1122,-10.0,,1.0,72.0,63.0,WH3,SUP120,OUT,invalid_date,2025-04-30,B221,,2133.79,,,,ERP
INV004769,,,-10.0,10.0,5.0,,,,,AVAILABLE,invalid_date,invalid_date,B124,,2834.24,N,2025-10-22 00:00:00,2025-07-05,ERP
INV005817,,PRD1065,,33.0,,,,WH3,SUP45,OUT,,,B309,,2689.26,Y,2025-05-04 00:00:00,2025-02-12,
INV003405,STR006,PRD1053,117.0,,9.0,78.0,,WH5,SUP1,OUT,2024-04-25,,,,,N,,invalid_date,
INV006055,,PRD1085,,,20.0,,,,SUP85,LOW,invalid_date,2025-08-26,,,,,2024-06-14 00:00:00,,
INV003853,STR002,,,48.0,,5.0,53.0,WH2,,OUT,2025-03-05,2025-01-16,B152,,1607.18,Y,invalid_ts,invalid_date,WMS
INV003637,STR004,,167.0,,,,44.0,,,OUT,2025-11-23,,,156.22,,Y,2024-06-08 00:00:00,invalid_date,
INV006599,STR007,PRD1125,224.0,47.0,,60.0,,WH2,,OUT,,invalid_date,,302.25,573.92,,,invalid_date,
INV004745,STR017,PRD1050,,10.0,,33.0,,WH5,SUP157,AVAILABLE,,invalid_date,B9,,,Y,2025-08-21 00:00:00,,
INV006934,STR022,,-10.0,,,56.0,,,,,,invalid_date,,,,,invalid_ts,,ERP
INV006332,STR001,,-10.0,,16.0,,,WH2,SUP57,AVAILABLE,invalid_date,2024-03-06,B143,,1176.41,Y,invalid_ts,invalid_date,ERP
INV004842,,,-10.0,50.0,,,,,,AVAILABLE,,,,1357.99,,,invalid_ts,2025-05-20,
INV004600,STR022,PRD1155,463.0,,7.0,,57.0,,,,,invalid_date,,327.99,2752.99,Y,invalid_ts,invalid_date,ERP
INV004753,,PRD1075,,32.0,,,47.0,,,AVAILABLE,2024-09-22,2025-11-10,B207,,2425.62,Y,2024-10-26 00:00:00,invalid_date,ERP
INV002178,STR029,PRD1098,,,13.0,34.0,95.0,,,,,,,,,Y,invalid_ts,,
INV006274,,PRD1145,-10.0,30.0,2.0,,77.0,,SUP105,LOW,,invalid_date,,,348.62,,,2024-09-10,ERP
INV003307,STR008,,268.0,21.0,17.0,,,WH2,,OUT,,invalid_date,,,,N,2024-01-30 00:00:00,,
INV000290,,PRD1133,-10.0,,,,,WH4,,AVAILABLE,invalid_date,2025-11-12,,906.47,,Y,invalid_ts,,
INV004201,STR003,,,,7.0,,,WH1,SUP47,OUT,invalid_date,,,,1880.48,,2024-03-14 00:00:00,2024-02-12,ERP
INV002264,,PRD1053,-10.0,22.0,14.0,95.0,,,,LOW,2024-06-22,invalid_date,B276,,1724.69,Y,,,WMS
INV006211,,PRD1168,-10.0,21.0,1.0,94.0,73.0,WH2,SUP178,AVAILABLE,invalid_date,2025-04-26,B447,1103.33,,,invalid_ts,2025-03-08,ERP
INV001216,,PRD1081,,4.0,,96.0,85.0,,,,invalid_date,invalid_date,,,233.21,N,invalid_ts,invalid_date,
INV003087,STR023,PRD1133,-10.0,25.0,,16.0,,,,LOW,,,,953.47,1081.94,Y,,invalid_date,
INV000420,,,-10.0,,,,62.0,,,OUT,invalid_date,invalid_date,B146,1021.61,1606.02,Y,invalid_ts,invalid_date,
INV006914,,,,,,,66.0,,SUP81,OUT,,,B352,1355.13,,N,invalid_ts,invalid_date,ERP
INV001096,,,478.0,,15.0,,46.0,,SUP50,AVAILABLE,,,,,,Y,2024-10-31 00:00:00,2025-07-15,ERP
INV003914,,PRD1178,255.0,,,92.0,,WH5,,,,,,1304.53,2288.96,N,,,ERP
INV001687,STR015,PRD1006,438.0,26.0,4.0,,,,SUP67,AVAILABLE,2024-06-03,2024-09-25,,765.23,,Y,2024-04-18 00:00:00,invalid_date,
INV000941,,,-10.0,,,24.0,58.0,WH2,SUP128,OUT,2024-10-03,2025-03-11,,1247.22,483.94,,,invalid_date,ERP
INV002328,STR016,PRD1170,,,,,,,,AVAILABLE,,invalid_date,B384,,,,,2024-05-23,
INV000532,STR002,PRD1018,272.0,49.0,15.0,96.0,58.0,,SUP129,OUT,,2024-03-10,B36,,826.31,N,invalid_ts,invalid_date,
INV005311,STR003,PRD1163,320.0,,1.0,28.0,,,,AVAILABLE,2025-11-11,invalid_date,,350.62,2384.84,N,,2025-05-20,ERP
INV001140,STR024,,,,0.0,16.0,,WH5,SUP97,,2024-12-11,invalid_date,B25,,1329.44,Y,,,ERP
INV000462,,PRD1091,-10.0,,15.0,92.0,72.0,WH4,SUP185,,invalid_date,,,997.03,1498.59,,,invalid_date,
INV004847,STR030,PRD1045,385.0,,,,73.0,,SUP21,,,invalid_date,B161,939.75,121.22,Y,2024-10-29 00:00:00,2024-08-26,
INV003548,STR025,PRD1200,291.0,,9.0,,50.0,,SUP138,OUT,invalid_date,,B98,1480.4,582.35,,,,ERP
INV004956,STR029,,72.0,45.0,,98.0,,WH1,SUP142,,,2024-12-06,B155,928.86,2032.19,,,2025-03-11,
INV004624,STR021,,,,4.0,24.0,43.0,WH2,,OUT,2025-09-15,invalid_date,B461,,315.98,N,2025-11-07 00:00:00,,WMS
INV002586,STR012,PRD1190,,,15.0,,,,SUP139,AVAILABLE,2024-07-19,,B439,1089.39,,Y,invalid_ts,invalid_date,
INV000398,,PRD1072,,,19.0,,,WH4,,OUT,,,,440.85,234.0,Y,2024-04-02 00:00:00,2025-06-02,ERP
INV003016,,,344.0,40.0,,,99.0,,SUP70,AVAILABLE,2024-11-29,2024-02-04,,,2137.0,N,,2024-06-02,
INV000446,,PRD1191,279.0,,,74.0,,WH3,SUP115,OUT,2024-08-24,invalid_date,,573.42,,N,,,
INV006771,,,,,,,,,SUP139,,2024-09-25,,,1113.32,784.37,Y,2025-01-12 00:00:00,invalid_date,ERP
INV001509,STR006,PRD1101,-10.0,,,0.0,,WH4,,OUT,,invalid_date,,563.72,627.46,N,,invalid_date,ERP
INV004898,,PRD1180,124.0,32.0,10.0,34.0,,,SUP57,LOW,2025-10-20,2024-07-11,B24,579.18,2416.92,Y,,,
INV003626,STR018,,-10.0,,,32.0,81.0,WH3,,LOW,,,,,,,2024-11-05 00:00:00,invalid_date,WMS
INV006472,,,-10.0,,15.0,,,WH3,,AVAILABLE,,invalid_date,B106,180.96,163.81,,2024-06-26 00:00:00,2024-05-08,
INV004792,STR020,,93.0,43.0,20.0,90.0,83.0,,SUP60,,,2024-07-14,,209.46,696.7,N,2024-07-22 00:00:00,invalid_date,WMS
INV006986,,,,47.0,,,24.0,WH1,SUP92,AVAILABLE,,2024-05-06,,481.47,1463.03,,,2024-04-30,
INV006371,,,-10.0,,1.0,,,WH1,,AVAILABLE,2025-10-07,2025-03-13,,1039.06,261.93,N,2024-08-11 00:00:00,invalid_date,
INV002537,,,177.0,36.0,12.0,,,,SUP19,OUT,,2024-11-11,,1034.96,194.66,Y,,invalid_date,WMS
INV003537,STR015,,,,,,64.0,WH2,SUP147,LOW,,invalid_date,,324.01,412.87,N,,2025-04-12,WMS
INV002469,STR007,PRD1164,,38.0,,88.0,64.0,,,,,invalid_date,B131,991.9,2142.93,Y,invalid_ts,invalid_date,
INV003302,,,-10.0,25.0,,,66.0,,,LOW,,invalid_date,,,,Y,invalid_ts,,
INV006665,STR013,,135.0,,18.0,54.0,46.0,,,AVAILABLE,,invalid_date,B173,,,,2025-02-12 00:00:00,invalid_date,WMS
INV001193,STR011,,,,,19.0,97.0,WH2,SUP180,AVAILABLE,2024-09-10,2024-03-13,B27,,956.16,N,,invalid_date,WMS
INV006437,,PRD1031,-10.0,38.0,5.0,,,WH4,,LOW,2025-06-07,invalid_date,B241,1063.75,1925.25,Y,invalid_ts,2024-01-04,ERP
INV004023,,PRD1148,,12.0,,25.0,74.0,WH3,,LOW,invalid_date,2025-05-24,,60.32,988.45,N,,2025-03-26,ERP
INV005076,,PRD1117,303.0,43.0,,49.0,,WH4,SUP97,LOW,invalid_date,,,,,,invalid_ts,,WMS
INV006215,STR002,PRD1042,-10.0,,,,69.0,,,,,invalid_date,B184,,836.63,,,2025-07-22,ERP
INV001765,STR024,,-10.0,,4.0,,40.0,WH4,SUP59,,,2025-02-15,,162.38,,,2024-09-12 00:00:00,invalid_date,ERP
INV005607,,,-10.0,,,,,WH1,,LOW,2024-03-23,2025-04-28,B325,604.77,372.78,N,invalid_ts,invalid_date,WMS
INV002473,,,96.0,44.0,9.0,,23.0,WH1,SUP25,OUT,2025-03-10,invalid_date,,493.3,692.08,,,invalid_date,ERP
INV004730,STR013,,,,4.0,81.0,,WH2,,OUT,,invalid_date,,,,N,invalid_ts,invalid_date,ERP
INV003341,,PRD1089,-10.0,27.0,18.0,,57.0,WH2,,OUT,,2024-11-12,B87,472.76,,N,invalid_ts,,WMS
INV000558,,,,,5.0,72.0,59.0,,,LOW,,2024-08-31,B455,,,,2024-06-25 00:00:00,invalid_date,ERP
INV001224,,,,36.0,,19.0,,WH2,,,,invalid_date,B342,1488.38,225.24,N,,,WMS
INV004103,,PRD1010,422.0,,,42.0,,,SUP12,LOW,2025-08-13,invalid_date,B89,1040.06,,Y,2025-05-09 00:00:00,,WMS
INV000435,,PRD1096,-10.0,,,,45.0,,,LOW,2025-07-03,,,906.5,,Y,2024-07-22 00:00:00,,WMS
INV006498,STR023,,353.0,,5.0,,25.0,WH2,SUP70,AVAILABLE,,invalid_date,B491,1229.86,2890.74,N,invalid_ts,,WMS
INV005485,,PRD1168,-10.0,,5.0,18.0,,WH1,SUP87,LOW,2025-11-27,2025-11-29,B237,770.46,,N,,2024-10-03,
INV003406,,PRD1030,92.0,7.0,,37.0,,WH2,SUP104,AVAILABLE,,2025-04-18,B110,,,Y,invalid_ts,,WMS
INV002174,,PRD1182,,,9.0,,99.0,WH5,,OUT,,invalid_date,B488,1487.94,,Y,,invalid_date,ERP
INV002890,STR028,PRD1043,-10.0,,13.0,70.0,61.0,,SUP189,OUT,2024-09-29,invalid_date,,,,,invalid_ts,,
INV000029,STR028,,-10.0,,,,43.0,,,OUT,,,,,,N,,invalid_date,WMS
INV006196,STR010,PRD1077,295.0,2.0,,,,WH1,,OUT,,invalid_date,,862.26,1314.14,Y,invalid_ts,invalid_date,WMS
INV000282,,PRD1135,285.0,41.0,11.0,,,WH2,SUP32,,invalid_date,invalid_date,B404,,,Y,,invalid_date,
INV005952,,,,34.0,18.0,,52.0,,SUP184,AVAILABLE,invalid_date,2024-03-15,,,,Y,invalid_ts,invalid_date,
INV001107,,,,,,81.0,,WH1,SUP123,,invalid_date,2025-09-03,B48,316.0,,Y,2025-07-20 00:00:00,,
INV000859,,,341.0,,6.0,31.0,100.0,WH4,SUP193,OUT,invalid_date,invalid_date,B351,,1946.32,N,,,
INV005022,,,107.0,37.0,,37.0,27.0,,SUP55,LOW,invalid_date,2024-10-28,,,,,invalid_ts,invalid_date,
INV001169,,,-10.0,,0.0,32.0,,WH5,SUP72,OUT,invalid_date,2024-01-24,B133,,852.11,N,,2024-12-16,ERP
INV006949,STR020,PRD1170,96.0,,17.0,2.0,,,,,,2025-04-26,B469,997.67,1006.93,Y,2025-04-25 00:00:00,2024-01-13,ERP
INV004234,,,426.0,45.0,5.0,,62.0,,,OUT,,invalid_date,,,,Y,,,WMS
INV004987,STR029,PRD1006,,15.0,17.0,,45.0,,SUP163,,2025-10-25,,,703.62,337.3,,,invalid_date,WMS
INV001941,,PRD1194,-10.0,,,,,,,LOW,2024-08-14,,,,,N,invalid_ts,invalid_date,ERP
INV005891,,PRD1190,,,,,39.0,WH2,,,2025-08-28,invalid_date,B439,1366.98,1735.81,N,2025-01-17 00:00:00,2025-07-19,WMS
INV003274,,PRD1134,-10.0,,,,20.0,WH2,,LOW,2024-03-28,,B235,525.86,653.32,,,2024-05-09,ERP
INV004414,,PRD1150,-10.0,25.0,,,,WH1,SUP64,,invalid_date,,,1493.57,2488.45,N,invalid_ts,invalid_date,WMS
INV001052,,PRD1153,,,11.0,,52.0,,SUP75,LOW,2025-01-21,2025-02-20,,,,Y,invalid_ts,invalid_date,WMS
INV002275,,,-10.0,,,29.0,,,SUP157,,2025-07-10,invalid_date,,,,N,2025-02-09 00:00:00,2024-11-20,ERP
INV000172,STR002,,91.0,,11.0,,85.0,WH2,SUP43,OUT,2024-03-25,,B173,465.64,2438.45,Y,invalid_ts,,
INV004079,,,,7.0,,,21.0,WH4,SUP151,LOW,2024-06-29,,,493.04,,N,invalid_ts,,WMS
INV004483,STR030,,291.0,11.0,3.0,81.0,,WH3,SUP9,LOW,,2024-11-13,,467.88,389.78,,2025-02-14 00:00:00,,
INV002018,STR005,,-10.0,11.0,19.0,35.0,,,SUP53,,invalid_date,,,338.09,2494.51,Y,,2025-02-24,ERP
INV001167,STR004,PRD1102,375.0,,3.0,51.0,64.0,,SUP54,LOW,invalid_date,invalid_date,B310,,351.52,Y,2025-09-15 00:00:00,2024-10-24,WMS
INV001809,,PRD1186,,13.0,15.0,,,WH1,SUP16,LOW,invalid_date,invalid_date,,,1973.7,N,,2024-05-24,ERP
INV002738,STR001,,,9.0,14.0,79.0,,,,AVAILABLE,,2025-10-20,B18,918.65,2586.34,,,2024-12-24,WMS
INV005164,STR010,PRD1131,,3.0,,22.0,79.0,WH5,SUP182,OUT,2025-10-10,,,,,,2024-02-23 00:00:00,2025-08-17,WMS
INV004606,,,232.0,29.0,,,46.0,,,,,2025-01-20,,,2040.22,N,2024-07-04 00:00:00,,
INV003872,STR006,,189.0,,0.0,55.0,54.0,WH1,,AVAILABLE,2025-02-14,,B492,817.63,2711.34,N,2024-02-13 00:00:00,invalid_date,ERP
INV005736,STR027,PRD1066,288.0,,13.0,,63.0,WH1,SUP108,,invalid_date,invalid_date,,,,N,invalid_ts,2024-08-23,ERP
INV006442,,PRD1111,-10.0,,8.0,59.0,54.0,WH4,SUP18,OUT,invalid_date,,,,1603.85,N,,invalid_date,WMS
INV000010,,PRD1172,,31.0,,24.0,,WH4,,AVAILABLE,2025-09-12,2025-09-06,,1048.14,,Y,invalid_ts,2024-09-28,WMS
INV004949,STR007,,-10.0,,17.0,39.0,65.0,WH1,SUP175,OUT,invalid_date,,,491.56,866.97,,2024-09-02 00:00:00,2024-09-05,ERP
INV002952,STR014,PRD1014,160.0,,4.0,63.0,83.0,WH5,SUP152,AVAILABLE,,invalid_date,B21,,,Y,invalid_ts,invalid_date,ERP
