order_id,customer_id,product_id,order_qty,order_value,order_status,payment_mode,delivery_city,delivery_state,delivery_country,shipping_fee,discount,tax,coupon_code,return_flag,return_reason,order_ts,delivery_date,load_date,source_system
ORD002298,,PRD1054,,,,NETBANKING,Auckland,North,,,33.05,,SAVE10,Y,DAMAGED,invalid_ts,2024-04-24,,APP
ORD001037,CUST01713,,-1.0,4895.03,PLACED,NETBANKING,,North,AU,,,,DISC20,N,DELAY,invalid_ts,2024-02-19,,
ORD000030,,PRD1150,5.0,2796.58,,UPI,,,AU,,265.42,,DISC20,Y,DELAY,,,invalid_date,APP
ORD007089,CUST00278,,,1527.28,CANCELLED,,,North,AU,29.48,61.32,291.89,DISC20,,,,2024-05-12,invalid_date,
ORD000340,,PRD1132,,,,,Christchurch,,,150.35,199.91,286.46,,Y,DELAY,invalid_ts,invalid_date,invalid_date,
ORD002951,CUST01660,PRD1036,4.0,,SHIPPED,,Auckland,,NZ,47.36,88.49,,,Y,,invalid_ts,,2024-09-16,APP
ORD006243,CUST04441,,-1.0,4810.42,,UPI,Auckland,North,,,51.26,203.33,,Y,DELAY,,2025-04-03,,
ORD004789,CUST01390,,1.0,,DELIVERED,CARD,Wellington,South,,,,164.17,,,DELAY,invalid_ts,invalid_date,,
ORD006956,CUST00384,PRD1063,-1.0,,DELIVERED,,Christchurch,,AU,198.44,,52.8,,N,DAMAGED,2025-04-12 00:00:00,invalid_date,,APP
ORD005623,CUST03991,,,,PLACED,NETBANKING,Auckland,,NZ,13.17,261.13,,SAVE10,,DELAY,invalid_ts,invalid_date,,
ORD004160,,PRD1071,3.0,3793.37,SHIPPED,NETBANKING,,North,,191.72,189.04,277.09,DISC20,Y,,invalid_ts,invalid_date,2024-02-10,ECOM
ORD005050,CUST02293,PRD1110,2.0,,,CARD,Wellington,North,AU,,256.76,119.05,SAVE10,N,,invalid_ts,2025-01-13,invalid_date,APP
ORD001912,CUST01614,PRD1100,,3143.32,CANCELLED,UPI,Christchurch,South,NZ,34.38,,,DISC20,,DELAY,invalid_ts,invalid_date,,
ORD003456,CUST00372,PRD1040,-1.0,,,UPI,Wellington,South,NZ,88.58,59.64,,SAVE10,N,DELAY,invalid_ts,2025-01-08,2024-09-25,APP
ORD007897,CUST02422,PRD1086,-1.0,,SHIPPED,CARD,Wellington,,AU,109.03,46.57,193.14,DISC20,N,DAMAGED,,2024-06-10,2024-05-22,APP
ORD001479,,PRD1124,,2206.38,CANCELLED,NETBANKING,Auckland,South,AU,183.64,2.64,,DISC20,,DELAY,2025-06-28 00:00:00,invalid_date,,ECOM
ORD007976,,,,,DELIVERED,UPI,Christchurch,,AU,,,,DISC20,Y,DAMAGED,2025-03-08 00:00:00,invalid_date,invalid_date,
ORD003102,CUST02594,,-1.0,2724.57,PLACED,,,North,,75.47,147.23,231.33,SAVE10,,,2024-04-16 00:00:00,2024-03-19,,
ORD005979,,,-1.0,,SHIPPED,UPI,Wellington,,,31.99,,,DISC20,N,DELAY,invalid_ts,,2025-11-01,
ORD004454,CUST00637,,3.0,,SHIPPED,,Christchurch,South,,49.04,,,DISC20,Y,,2025-01-10 00:00:00,invalid_date,,ECOM
ORD001570,,PRD1133,-1.0,4394.96,PLACED,,Wellington,North,AU,,36.92,,DISC20,,DAMAGED,,,2024-03-15,
ORD000193,,PRD1158,-1.0,2026.61,,UPI,Christchurch,North,AU,67.61,,81.52,,,DAMAGED,2025-07-26 00:00:00,invalid_date,invalid_date,APP
ORD006769,CUST04759,,-1.0,,CANCELLED,,Auckland,North,AU,146.76,,,DISC20,Y,,,invalid_date,2025-10-30,
ORD002392,,,,,SHIPPED,CARD,,North,,152.34,50.5,,,,,invalid_ts,invalid_date,2024-05-03,ECOM
ORD004378,,,-1.0,541.98,CANCELLED,NETBANKING,Wellington,South,NZ,,86.15,86.12,SAVE10,N,DAMAGED,,,2024-02-26,
ORD002319,CUST02457,,,4462.13,SHIPPED,,Christchurch,,,,213.41,,SAVE10,N,DAMAGED,invalid_ts,,,APP
ORD006806,CUST00521,,-1.0,4123.7,,UPI,Wellington,,,,,289.09,DISC20,N,,,invalid_date,invalid_date,
ORD005688,CUST02510,,5.0,1217.94,DELIVERED,CARD,Auckland,South,AU,,282.43,,,Y,,2025-01-30 00:00:00,invalid_date,,
ORD007613,CUST04434,,2.0,3462.63,,NETBANKING,Wellington,,NZ,145.08,272.52,,,Y,DAMAGED,invalid_ts,,invalid_date,APP
ORD001991,,,-1.0,3927.63,,CARD,,,,,,131.24,DISC20,Y,DELAY,invalid_ts,,,ECOM
ORD004375,,,,,SHIPPED,NETBANKING,,North,NZ,124.71,43.65,,SAVE10,N,,,,invalid_date,
ORD002708,CUST04783,PRD1035,3.0,,DELIVERED,,,South,AU,190.32,154.69,94.57,,,DELAY,,2024-09-25,,APP
ORD001749,CUST04739,,,4853.58,PLACED,UPI,Wellington,,,89.72,,141.74,,Y,DAMAGED,2024-11-13 00:00:00,2024-12-24,2025-10-07,ECOM
ORD002969,,PRD1130,-1.0,4256.62,,,Wellington,North,AU,142.88,,159.24,,N,,,invalid_date,invalid_date,APP
ORD004596,CUST03792,PRD1106,,4157.39,,UPI,Wellington,North,,94.05,,293.86,DISC20,,DAMAGED,,2025-09-04,2024-10-22,
ORD001858,,PRD1007,-1.0,4235.92,CANCELLED,,Wellington,South,NZ,,,,,N,,2024-10-22 00:00:00,2024-07-21,2025-07-17,APP
ORD007366,,,,415.93,,,Auckland,,,,,259.44,,Y,,,2024-03-07,invalid_date,APP
ORD001224,,PRD1193,5.0,,DELIVERED,,Wellington,North,,,,,SAVE10,N,,,invalid_date,invalid_date,APP
ORD005962,,,-1.0,,,UPI,,South,AU,89.41,93.14,,SAVE10,,DAMAGED,2024-05-23 00:00:00,invalid_date,,
ORD007608,CUST04941,PRD1033,2.0,,SHIPPED,,Christchurch,North,NZ,30.5,,194.26,,Y,DAMAGED,invalid_ts,,invalid_date,APP
ORD004934,,PRD1012,1.0,2811.42,SHIPPED,NETBANKING,,South,,166.65,163.59,,DISC20,N,DAMAGED,,invalid_date,2025-03-16,
ORD003715,,PRD1075,,251.45,,CARD,Wellington,,AU,,,275.3,DISC20,Y,DAMAGED,invalid_ts,2024-10-21,2024-07-26,ECOM
ORD001679,CUST03815,PRD1120,-1.0,3683.04,DELIVERED,,Christchurch,,NZ,,,128.18,,N,,,2025-07-23,2024-09-01,APP
ORD006179,,PRD1023,1.0,4090.95,SHIPPED,UPI,,,,,,210.86,SAVE10,Y,,invalid_ts,,2024-06-11,APP
ORD003020,,PRD1180,,1050.04,DELIVERED,,Wellington,North,AU,170.82,,,,N,DAMAGED,2024-07-23 00:00:00,invalid_date,2024-04-29,APP
ORD005705,,PRD1063,2.0,1861.47,CANCELLED,CARD,Christchurch,North,,138.16,121.66,272.27,DISC20,N,DELAY,2024-02-13 00:00:00,,,
ORD006670,CUST04420,,-1.0,4417.88,DELIVERED,UPI,,North,,,,123.88,,N,,,2025-09-08,2024-06-14,ECOM
ORD002842,CUST03339,PRD1137,3.0,2663.99,CANCELLED,,Auckland,,AU,105.93,79.37,,SAVE10,,,2024-04-04 00:00:00,,invalid_date,
ORD003641,,,,1534.52,SHIPPED,,Wellington,South,AU,,85.12,,SAVE10,N,DAMAGED,invalid_ts,invalid_date,2025-07-27,ECOM
ORD007402,CUST02111,,2.0,,SHIPPED,UPI,Auckland,,,,,,DISC20,Y,,invalid_ts,2025-02-23,invalid_date,APP
ORD001778,,PRD1061,,,DELIVERED,NETBANKING,Christchurch,North,NZ,,120.27,109.0,,N,,2025-05-01 00:00:00,,invalid_date,
ORD000193,,,1.0,1820.25,,CARD,Auckland,South,,,224.94,174.44,SAVE10,N,DELAY,,invalid_date,2024-11-13,ECOM
ORD006912,,PRD1170,-1.0,,,,,,AU,3.71,137.15,97.47,DISC20,N,DAMAGED,,invalid_date,,APP
ORD005579,,,,,PLACED,CARD,Wellington,,AU,,,,SAVE10,Y,,2024-08-30 00:00:00,invalid_date,invalid_date,ECOM
ORD000505,CUST00756,,,,CANCELLED,UPI,Auckland,North,NZ,,27.61,115.56,,,DELAY,,,,APP
ORD007247,,,-1.0,305.54,CANCELLED,NETBANKING,Christchurch,North,AU,,99.67,,DISC20,N,DAMAGED,invalid_ts,,,
ORD002380,CUST04795,,3.0,,PLACED,,Wellington,,AU,,156.98,51.4,,Y,DELAY,,invalid_date,invalid_date,
ORD001738,CUST04013,PRD1090,-1.0,117.99,SHIPPED,,Christchurch,South,NZ,,,60.15,DISC20,,DELAY,,2024-08-31,,APP
ORD007357,CUST02791,PRD1084,-1.0,4027.87,,UPI,Christchurch,South,NZ,76.37,,,DISC20,Y,,invalid_ts,,,
ORD000393,,PRD1024,5.0,4008.33,DELIVERED,CARD,Christchurch,South,,,172.3,,SAVE10,,,,,2024-04-25,ECOM
ORD004026,CUST03071,PRD1109,-1.0,1162.87,PLACED,,Wellington,,AU,99.51,,153.18,DISC20,Y,,invalid_ts,invalid_date,2025-11-07,
ORD006265,,,4.0,,SHIPPED,,Christchurch,North,AU,41.93,240.42,,SAVE10,Y,DAMAGED,2025-04-04 00:00:00,2024-12-06,invalid_date,APP
ORD001237,CUST02641,,,,CANCELLED,NETBANKING,Wellington,South,,19.5,,237.03,,Y,,2024-03-24 00:00:00,2025-07-23,invalid_date,ECOM
ORD007850,CUST01302,PRD1107,,,CANCELLED,UPI,Auckland,North,NZ,,,,DISC20,N,DELAY,2025-06-15 00:00:00,invalid_date,2024-07-11,ECOM
ORD006828,CUST04173,PRD1138,-1.0,944.28,PLACED,NETBANKING,Wellington,North,,136.94,191.25,,DISC20,Y,DAMAGED,invalid_ts,invalid_date,2025-10-29,APP
ORD006706,CUST00280,,-1.0,1988.26,DELIVERED,CARD,,South,,,20.12,101.17,SAVE10,N,DELAY,,,invalid_date,APP
ORD001850,CUST02717,,,801.8,DELIVERED,NETBANKING,Wellington,North,,35.61,96.97,,,,DELAY,,,2024-04-24,APP
ORD007874,CUST03588,,,4164.74,DELIVERED,NETBANKING,Wellington,South,NZ,90.48,190.31,,SAVE10,N,DAMAGED,2025-05-07 00:00:00,invalid_date,2024-10-12,ECOM
ORD000723,,,1.0,,,NETBANKING,,South,,65.61,,249.03,DISC20,N,DELAY,,invalid_date,invalid_date,ECOM
ORD001654,CUST04525,PRD1066,5.0,,CANCELLED,,Christchurch,South,,152.15,190.36,,SAVE10,,,,2024-07-15,2024-07-29,APP
ORD002621,CUST04131,,5.0,2266.03,DELIVERED,,Wellington,,NZ,167.22,,5.7,DISC20,N,DELAY,invalid_ts,,,APP
ORD003735,CUST04367,,-1.0,1533.59,DELIVERED,,Christchurch,South,,,92.4,,,Y,DELAY,invalid_ts,,invalid_date,
ORD002654,CUST01936,PRD1118,5.0,,PLACED,CARD,,South,NZ,55.19,,,,,DELAY,invalid_ts,,,
ORD006334,,,-1.0,1179.97,DELIVERED,NETBANKING,Auckland,North,NZ,,43.62,,SAVE10,N,DELAY,2024-12-31 00:00:00,2024-03-06,,
ORD001370,,PRD1001,5.0,,CANCELLED,CARD,,North,AU,,,,DISC20,,DELAY,,,invalid_date,APP
ORD000005,,,5.0,765.57,PLACED,,Wellington,,NZ,,,,SAVE10,Y,,2025-06-15 00:00:00,,2025-03-26,ECOM
ORD007801,,,,,SHIPPED,CARD,Auckland,South,NZ,,188.06,72.36,,Y,DAMAGED,invalid_ts,invalid_date,2025-09-06,ECOM
ORD005110,,PRD1116,-1.0,4252.86,CANCELLED,,,,NZ,161.82,,,SAVE10,N,,,2025-04-18,invalid_date,ECOM
ORD007445,CUST03135,,-1.0,4707.53,SHIPPED,UPI,,South,NZ,,32.96,240.57,SAVE10,N,DELAY,invalid_ts,invalid_date,invalid_date,ECOM
ORD000666,CUST02323,,1.0,,CANCELLED,,Christchurch,South,,108.42,135.48,269.1,SAVE10,Y,DELAY,,invalid_date,invalid_date,
ORD000921,,,,3877.77,,UPI,,South,,36.61,271.76,23.13,,,DAMAGED,,invalid_date,,
ORD006793,CUST01956,PRD1199,-1.0,3025.11,CANCELLED,UPI,,South,NZ,,,29.45,SAVE10,N,DAMAGED,,invalid_date,invalid_date,
ORD003484,,PRD1065,4.0,,,CARD,Christchurch,North,NZ,,,,,N,,,invalid_date,2024-09-15,ECOM
ORD002145,CUST00128,PRD1003,,,CANCELLED,UPI,,South,NZ,,251.23,,,N,,2025-07-31 00:00:00,2024-04-09,invalid_date,APP
ORD007937,,,3.0,,SHIPPED,UPI,,North,AU,,,,,N,DAMAGED,2024-11-10 00:00:00,,2024-10-14,ECOM
ORD004824,CUST02867,,4.0,4229.38,PLACED,,Auckland,North,NZ,,278.97,211.42,SAVE10,Y,,2024-07-01 00:00:00,invalid_date,invalid_date,APP
ORD003023,,,-1.0,3480.49,CANCELLED,UPI,,South,,138.23,,127.67,SAVE10,N,DAMAGED,,invalid_date,invalid_date,APP
ORD006775,CUST01822,,-1.0,,SHIPPED,,Wellington,South,,68.65,,99.63,DISC20,,DELAY,2024-01-09 00:00:00,2025-11-22,invalid_date,
ORD001045,,,,,DELIVERED,CARD,Christchurch,South,AU,,,,SAVE10,N,,invalid_ts,2025-05-29,,ECOM
ORD001609,,PRD1065,4.0,1680.72,,CARD,,North,AU,123.9,,265.18,DISC20,,DAMAGED,,2024-06-09,,APP
ORD003606,CUST00384,PRD1065,,,SHIPPED,CARD,Christchurch,,NZ,,,32.09,DISC20,,DAMAGED,invalid_ts,,invalid_date,ECOM
ORD006905,,PRD1182,4.0,2311.98,CANCELLED,CARD,,North,,,12.52,,,,,,,invalid_date,APP
ORD001341,,,,4920.67,SHIPPED,NETBANKING,Wellington,,,,195.16,,SAVE10,N,DAMAGED,,,invalid_date,
ORD001553,CUST01210,,5.0,636.23,DELIVERED,,,South,NZ,,22.15,82.4,DISC20,,,,2024-01-29,2025-03-02,APP
ORD006949,CUST03444,,-1.0,3268.82,SHIPPED,CARD,Christchurch,North,,,,,SAVE10,Y,DELAY,,invalid_date,2024-03-29,
ORD005435,CUST00231,PRD1089,,,CANCELLED,UPI,,South,NZ,159.78,,,,N,DAMAGED,2025-10-18 00:00:00,2025-09-26,invalid_date,APP
ORD000081,,PRD1156,4.0,2541.31,DELIVERED,UPI,Auckland,,NZ,107.75,74.2,29.49,,,DAMAGED,invalid_ts,invalid_date,,ECOM
ORD007520,CUST04284,,3.0,,,,Christchurch,,NZ,,,37.16,,Y,DAMAGED,2025-07-31 00:00:00,2025-04-01,2024-07-05,
ORD000014,CUST03923,,3.0,2806.51,PLACED,CARD,Christchurch,North,NZ,60.0,21.22,112.23,DISC20,N,DELAY,invalid_ts,,invalid_date,ECOM
ORD006671,CUST00149,,,4732.94,,NETBANKING,Auckland,North,NZ,,290.43,134.63,,,DELAY,invalid_ts,,,APP
ORD001314,,PRD1170,5.0,2829.47,DELIVERED,UPI,Wellington,South,AU,,,7.73,DISC20,Y,DAMAGED,,2025-05-10,2025-11-17,
ORD000925,CUST04629,PRD1125,3.0,,CANCELLED,CARD,Wellington,,,0.8,51.26,177.81,SAVE10,,,,,,
ORD007744,CUST04922,,2.0,,CANCELLED,CARD,Christchurch,South,NZ,68.39,22.28,,,,DAMAGED,2024-11-06 00:00:00,,,
ORD002522,CUST03928,,,4306.92,PLACED,NETBANKING,Wellington,South,NZ,136.99,117.78,,,,,2024-04-12 00:00:00,invalid_date,invalid_date,
ORD003720,,,3.0,4320.74,CANCELLED,CARD,Wellington,North,AU,,,27.18,DISC20,N,DAMAGED,,,2025-09-21,
