store_id,store_name,city,state,country,store_type,manager_id,open_date,close_date,store_size_sqft,no_of_staff,rent_cost,revenue_target,is_active,renovation_flag,last_renovation_date,latitude,longitude,load_date,source_system
STR009,Store_23,Wellington,South,NZ,Ecommerce,MGR264,2024-04-18,,8299.0,43.0,,,Y,N,2024-12-06,42.96134,-21.852694,,ERP
STR018,,Auckland,,,Physical,MGR307,2025-08-23,2024-07-31,,48.0,,416835.18,Y,,invalid_date,,-136.912483,,ERP
STR007,,Wellington,,,Ecommerce,,invalid_date,,,,,248738.8,Y,N,,,-130.398397,2025-02-09,
STR017,Store_26,Hamilton,South,AU,Ecommerce,,,,,,35776.08,,,Y,invalid_date,30.993997,117.404494,,ERP
STR001,,Hamilton,South,,Physical,,,,,20.0,31145.24,,Y,,2024-06-28,-40.448557,-150.863741,2024-03-03,CRM
STR010,,Auckland,,NZ,,MGR62,,2024-03-04,,29.0,,342780.48,Y,,,,161.795903,,
STR016,,Hamilton,South,AU,Ecommerce,MGR280,2024-12-17,invalid_date,,,36005.31,,Y,N,,-28.047953,88.935254,2024-12-21,ERP
STR022,,,South,NZ,Ecommerce,MGR136,,,,44.0,,,,,invalid_date,,92.864412,,ERP
STR024,,Christchurch,,AU,,MGR27,invalid_date,invalid_date,7187.0,,,225167.92,N,Y,,9.728784,158.720796,2024-11-19,CRM
STR028,,Hamilton,North,,,MGR342,invalid_date,2024-02-17,4638.0,,14252.14,152053.9,,Y,2024-11-27,,-88.736663,2024-05-07,
STR004,Store_33,Hamilton,,NZ,Physical,,invalid_date,,,,,,Y,,2025-07-02,,-165.129644,invalid_date,CRM
STR004,,Auckland,North,,,,invalid_date,,,23.0,27950.63,,,,invalid_date,34.122485,,,
STR024,Store_35,,,AU,Physical,MGR3,,invalid_date,9598.0,49.0,,,,Y,invalid_date,,,invalid_date,
STR022,Store_36,Wellington,,,Ecommerce,,2024-10-31,invalid_date,6412.0,19.0,2447.18,,N,,,,137.720189,2025-04-20,
STR012,,Auckland,North,AU,Ecommerce,,2025-11-07,,,33.0,,,Y,Y,invalid_date,-6.878159,-169.946747,invalid_date,CRM
STR008,,Hamilton,,NZ,,MGR294,2024-06-24,2024-08-13,5386.0,,,397062.36,Y,Y,invalid_date,18.08657,,invalid_date,CRM
STR028,Store_39,Auckland,South,NZ,,MGR309,invalid_date,,,16.0,,,N,,2025-05-15,-32.421897,27.190216,invalid_date,
STR002,,,,,Ecommerce,,invalid_date,,,49.0,1465.63,467661.85,N,N,invalid_date,-82.463124,,2025-05-13,
STR005,Store_41,Auckland,,,,MGR53,invalid_date,,6565.0,15.0,41837.94,,N,Y,2025-09-08,22.129954,,invalid_date,CRM
STR029,,Christchurch,North,NZ,Ecommerce,,,2024-09-25,3957.0,,34412.62,386254.58,Y,N,,9.253657,-10.161914,invalid_date,ERP
STR003,,Christchurch,,NZ,Physical,,invalid_date,2024-01-04,4344.0,,,,,,,,,2024-11-10,ERP
STR009,Store_44,,South,,,MGR96,invalid_date,2025-10-30,,,10835.61,,Y,,invalid_date,5.683954,,invalid_date,ERP
STR009,,,North,NZ,Ecommerce,,,2025-08-04,,,23863.92,303678.73,Y,,invalid_date,,,,CRM
STR028,,Auckland,South,AU,,MGR262,invalid_date,,,,15935.28,258629.78,,,,,-22.25844,invalid_date,CRM
STR011,Store_47,Christchurch,,AU,,,2025-03-22,2025-08-25,9655.0,,,,,Y,invalid_date,,,,
STR022,Store_48,Auckland,South,AU,,,,2024-12-20,3357.0,46.0,,235475.6,,Y,invalid_date,,-12.921759,2024-07-06,ERP
STR010,Store_49,Auckland,,AU,,,2024-09-12,,,,44966.08,158292.06,,N,2024-06-30,,-142.478699,invalid_date,ERP
STR004,,Hamilton,,NZ,Ecommerce,MGR183,invalid_date,2025-03-27,,,,,N,,,31.318967,53.383556,,CRM
STR027,,,North,AU,,,2024-02-26,2025-11-08,,39.0,,,,,,,,invalid_date,CRM
STR023,,Auckland,South,NZ,Ecommerce,MGR124,2024-10-23,2024-01-13,3127.0,,36209.58,,N,Y,,-26.286082,-67.589677,2025-09-25,ERP
STR015,Store_53,Christchurch,,,,MGR169,,invalid_date,8393.0,27.0,46804.94,382162.51,N,N,,,-106.305638,invalid_date,CRM
STR026,,Christchurch,,,Ecommerce,MGR151,,2025-06-12,,,,,,,,,,,
STR011,,,,AU,Ecommerce,,,,,16.0,,195612.73,N,Y,invalid_date,,61.397768,invalid_date,
STR027,,Hamilton,North,,Physical,MGR291,2025-03-12,2024-10-07,,,,,,N,2025-03-22,,,2025-08-07,ERP
STR009,,Auckland,,NZ,,MGR44,2024-05-06,2024-07-25,7894.0,,,,Y,Y,2024-03-01,,,2025-05-18,ERP
STR022,,,North,AU,Ecommerce,,invalid_date,2024-07-07,,46.0,,,Y,Y,invalid_date,,-169.205255,invalid_date,
STR007,Store_59,Auckland,North,AU,Ecommerce,MGR320,invalid_date,invalid_date,7195.0,22.0,37807.91,345803.26,N,,2024-04-13,,,2024-09-12,
STR009,Store_60,Wellington,North,,Ecommerce,MGR447,,,,14.0,,420225.62,N,Y,2024-06-21,,,,ERP
STR029,Store_61,Christchurch,South,AU,Physical,MGR245,invalid_date,invalid_date,,,15846.97,103688.79,,N,,64.668578,,,CRM
STR023,,,South,NZ,Physical,,,2024-09-21,,28.0,,,Y,Y,,,24.920215,2024-12-12,
STR018,Store_63,Christchurch,South,NZ,,,2025-06-02,2025-08-28,2202.0,,,447551.02,,N,invalid_date,,133.547085,invalid_date,
STR022,,Wellington,,AU,Physical,MGR362,invalid_date,invalid_date,,24.0,,,,,invalid_date,,36.300067,invalid_date,
STR006,Store_65,Wellington,,NZ,,,,,,,2082.79,266745.64,Y,Y,,,,invalid_date,ERP
STR016,,Auckland,,NZ,,MGR25,2025-05-14,invalid_date,9141.0,28.0,30888.98,467268.62,,Y,,,,,CRM
STR025,Store_67,Christchurch,,,Physical,MGR143,,2025-07-31,,23.0,46215.03,,Y,,2024-01-09,-6.038231,,,CRM
STR002,,Auckland,,AU,Ecommerce,,2025-05-29,2024-01-29,,20.0,10425.5,109700.24,Y,,,-5.511825,,invalid_date,CRM
STR011,Store_69,Wellington,,AU,,,2024-08-02,,6318.0,7.0,,,,,2024-01-16,,,2024-09-18,CRM
STR012,Store_70,Wellington,,NZ,Ecommerce,,invalid_date,2024-12-31,2431.0,16.0,11264.6,,,Y,2025-02-22,,-0.467812,invalid_date,
STR014,Store_71,,,NZ,Physical,MGR19,2024-01-29,,3056.0,22.0,,,N,,,55.286955,-155.322128,,ERP
STR026,,Christchurch,South,NZ,,,2024-08-01,invalid_date,,34.0,1063.15,304686.46,Y,N,2025-11-15,35.408648,,invalid_date,
STR023,Store_73,Hamilton,South,,,,2024-02-16,invalid_date,,36.0,,313201.53,N,N,2025-06-07,-52.550907,,,ERP
STR027,Store_74,Christchurch,,AU,Physical,MGR313,invalid_date,2024-02-04,,16.0,,,N,,invalid_date,43.380971,,,CRM
STR020,,Auckland,North,NZ,Physical,MGR432,invalid_date,,7644.0,8.0,,,N,Y,invalid_date,,,invalid_date,ERP
STR013,Store_76,,,,,,2024-06-17,invalid_date,7480.0,,16671.17,114894.4,Y,Y,2025-04-14,,36.84962,,ERP
STR024,,,,AU,Physical,,2024-07-07,2024-05-26,,37.0,24571.45,,,,,,-43.278137,invalid_date,
STR028,Store_78,Wellington,,NZ,,MGR281,,2025-02-17,,,,,Y,N,,,,2024-06-24,
STR024,Store_79,Christchurch,North,NZ,Ecommerce,MGR368,,invalid_date,,33.0,,131629.93,Y,Y,,57.851553,,,CRM
STR022,,Christchurch,South,AU,Ecommerce,,invalid_date,2024-10-29,,,26088.88,248504.65,N,N,,46.326756,,,CRM
STR026,Store_81,Wellington,,AU,,MGR280,2024-02-07,,9511.0,9.0,47804.23,332373.74,N,N,2024-11-21,,,2025-02-24,ERP
STR020,,Auckland,,AU,Physical,,,2025-11-18,,16.0,45203.89,,,Y,2024-08-22,,151.716145,,ERP
STR014,Store_83,Auckland,North,,Physical,,invalid_date,invalid_date,,48.0,,,N,Y,invalid_date,,-113.107568,2025-01-10,
STR027,,Auckland,North,,Physical,,invalid_date,invalid_date,,16.0,,283891.79,N,Y,2024-05-22,7.754467,47.164193,,
STR019,Store_85,Hamilton,,,Ecommerce,,,,3007.0,,,361271.23,Y,N,invalid_date,,58.497672,,CRM
STR030,,Christchurch,South,NZ,Ecommerce,MGR434,invalid_date,,7436.0,25.0,48965.83,287442.87,Y,Y,2024-06-30,-67.798975,-122.076409,,ERP
STR025,,,,AU,,MGR285,,,2592.0,,26948.04,422888.78,Y,,invalid_date,,-80.610734,invalid_date,
STR028,,Auckland,South,NZ,,,2025-04-01,,,29.0,,,,N,2025-11-12,1.705583,176.666999,2025-03-15,ERP
STR018,Store_89,Auckland,,,,MGR476,2024-11-24,,,35.0,,292149.31,Y,N,,-61.497891,,,CRM
STR002,Store_90,Christchurch,,NZ,Physical,MGR143,invalid_date,,1832.0,14.0,,261074.18,,Y,invalid_date,27.614504,-7.809552,2025-12-01,CRM
STR012,,,North,NZ,Physical,MGR148,invalid_date,2024-08-23,3334.0,,16643.39,,N,N,,,136.40233,invalid_date,ERP
STR025,Store_92,Wellington,North,NZ,,MGR459,invalid_date,invalid_date,,41.0,26072.9,,Y,Y,2024-01-01,,131.490699,,CRM
STR019,Store_93,Hamilton,North,NZ,,,invalid_date,2024-01-12,,,42661.26,,N,Y,2025-07-02,,,2024-01-29,ERP
STR015,,Auckland,South,,,MGR120,2024-01-26,2025-03-30,5992.0,,,,,Y,,,-3.970222,,ERP
STR009,,Wellington,,NZ,,MGR116,,invalid_date,9650.0,12.0,34835.66,130314.74,N,Y,,,,2024-07-14,ERP
STR003,,Auckland,North,AU,Physical,MGR304,invalid_date,2025-08-08,,,3483.96,,N,,2025-09-12,79.208867,,invalid_date,ERP
STR027,Store_97,Auckland,North,,Physical,MGR215,2025-03-18,invalid_date,,34.0,8665.01,113791.81,Y,N,invalid_date,10.945786,98.098695,2024-10-23,CRM
STR025,,Christchurch,North,,,MGR210,invalid_date,2024-05-29,,37.0,,152593.73,,N,2025-01-05,,72.728286,invalid_date,ERP
STR016,,Hamilton,,NZ,Physical,MGR462,invalid_date,,4371.0,,,,Y,,invalid_date,-21.773385,7.014113,2025-05-16,
STR003,,Hamilton,South,AU,Physical,MGR37,2024-10-03,,2003.0,,,,Y,Y,2025-05-16,-84.754507,65.133303,2024-11-12,ERP
STR023,,Christchurch,North,,,MGR385,2025-09-23,invalid_date,,26.0,,178683.1,,,invalid_date,,-73.95208,2024-02-26,ERP
STR007,Store_102,Wellington,,AU,,MGR439,2024-11-28,,8149.0,21.0,29501.66,333191.89,N,Y,invalid_date,2.293964,151.59368,,
STR003,Store_103,Christchurch,South,,Ecommerce,,,2024-02-19,,,,,Y,Y,2024-01-10,,,2024-10-06,CRM
STR023,Store_104,Hamilton,South,AU,Physical,,2025-09-20,,,23.0,,,N,Y,2024-05-07,,,2024-03-16,ERP
STR004,Store_105,Wellington,,AU,,MGR21,2025-06-12,,8099.0,10.0,39974.15,388971.64,Y,N,2024-07-20,8.162709,145.263909,2024-08-30,
STR023,,,North,,Ecommerce,,2025-03-04,invalid_date,,,,,Y,N,2024-10-28,8.658009,-8.509853,invalid_date,
STR029,Store_107,Christchurch,North,,,MGR382,invalid_date,,,,,,Y,Y,,,117.752617,invalid_date,CRM
STR009,,Auckland,South,NZ,Physical,MGR306,2025-11-16,,,22.0,,,,N,invalid_date,,,,ERP
STR002,,Christchurch,South,,,,,,9904.0,39.0,,,Y,N,,-46.274076,,invalid_date,CRM
STR016,Store_110,Wellington,,NZ,Physical,,invalid_date,,4043.0,,,448158.31,Y,Y,,-80.830708,-52.4882,2025-07-20,ERP
STR009,Store_111,Auckland,,AU,,MGR353,,,5992.0,26.0,23601.0,,Y,,invalid_date,-51.562118,,invalid_date,CRM
STR022,Store_112,,South,,Physical,MGR112,2024-07-16,,3615.0,,,,,,,-38.305927,,2024-11-17,ERP
STR026,,,South,NZ,Physical,,2024-06-22,,2570.0,,45165.67,,,N,2024-02-21,-87.988658,172.410685,2024-03-31,ERP
STR003,,Wellington,South,,Physical,,invalid_date,2024-09-05,5213.0,,,,Y,Y,2024-03-12,,-109.006894,2024-11-13,
STR025,Store_115,Wellington,North,AU,,MGR262,,,,,,367783.49,N,Y,2025-05-19,,17.366662,invalid_date,CRM
STR029,Store_116,Wellington,,AU,Physical,,invalid_date,,,37.0,45428.96,,N,Y,,,164.88123,2025-04-12,
STR013,,Wellington,South,,Physical,MGR414,invalid_date,,,,,453773.41,,Y,2024-08-27,,,2025-09-20,ERP
STR025,,Christchurch,,NZ,Physical,MGR63,,2025-07-06,5987.0,,26069.75,412474.55,,Y,,13.969799,-134.984325,,ERP
STR008,Store_119,Wellington,,NZ,Physical,,2024-12-02,2025-01-06,,28.0,33853.28,,Y,Y,2024-06-27,,,,CRM
STR004,,Wellington,,AU,Ecommerce,,,,2846.0,,,,Y,N,invalid_date,-70.152771,48.260757,,ERP
STR010,Store_121,Auckland,North,AU,Physical,,,,,,,,N,N,,-33.895283,,invalid_date,CRM
STR001,Store_122,Hamilton,North,AU,,MGR209,invalid_date,2024-01-28,8524.0,,,,Y,,,44.128881,-100.694993,,
STR028,Store_123,Hamilton,,NZ,Physical,,,2024-06-10,8086.0,,,199203.6,N,N,2025-09-29,86.536752,,invalid_date,
STR016,,Christchurch,,NZ,Physical,MGR306,,,4447.0,,47763.08,220731.88,N,Y,,,31.532512,2025-09-19,CRM
STR025,,,North,,Ecommerce,,2024-08-25,2025-01-30,,,41316.59,130209.55,Y,Y,invalid_date,,,,CRM
STR011,,Christchurch,North,,,MGR125,2025-01-30,2025-10-02,,,,,Y,Y,invalid_date,,-95.926783,,CRM
STR012,Store_127,,South,,Ecommerce,MGR343,,invalid_date,1764.0,12.0,46159.54,115930.18,Y,N,invalid_date,-65.218114,7.461374,invalid_date,ERP
STR023,,Auckland,South,AU,Ecommerce,,,,,31.0,21072.61,,,Y,2025-11-22,,,,CRM
STR027,Store_129,,North,,Physical,MGR286,,invalid_date,,48.0,,492051.39,,N,2025-11-02,,,2024-12-27,
STR018,,Auckland,,AU,Ecommerce,,,2024-11-17,6489.0,24.0,9686.76,,Y,N,invalid_date,,55.533628,invalid_date,CRM
STR010,Store_131,Hamilton,,,Physical,,2025-10-25,2025-09-14,,37.0,,129959.12,,Y,invalid_date,,148.74547,,CRM
STR002,Store_132,Wellington,,AU,Ecommerce,MGR113,2025-05-25,2025-08-30,3877.0,,,,N,N,invalid_date,-6.743575,120.20243,invalid_date,
STR024,Store_133,Auckland,,AU,,,,,1256.0,,4924.88,,N,Y,,36.312588,,,ERP
STR030,Store_134,,,AU,Ecommerce,,2024-06-27,,2774.0,33.0,28993.94,227012.15,N,N,,-41.225641,,invalid_date,ERP
STR008,Store_135,Auckland,,NZ,,,,invalid_date,,,,,Y,N,invalid_date,-45.909414,,invalid_date,ERP
STR007,Store_136,Christchurch,,,,,invalid_date,invalid_date,4118.0,17.0,4313.79,,,N,invalid_date,-71.582075,-108.734036,invalid_date,
STR026,Store_137,Hamilton,South,NZ,Ecommerce,MGR452,,2025-07-18,2908.0,,,252349.53,,Y,2025-01-27,,-76.238734,invalid_date,CRM
STR016,Store_138,Auckland,South,NZ,,MGR181,2025-04-28,2025-07-03,,,40116.87,,N,Y,invalid_date,47.163523,-53.260844,2024-11-27,ERP
STR029,Store_139,Hamilton,,NZ,,MGR90,invalid_date,,,37.0,13029.67,409130.57,Y,N,2024-10-01,81.550308,39.950021,,
STR029,,Hamilton,South,NZ,,MGR462,invalid_date,invalid_date,3752.0,,17143.37,,Y,Y,2025-01-06,,,invalid_date,CRM
STR015,Store_141,Christchurch,North,NZ,Physical,,2025-01-20,,1561.0,,,,Y,,,24.627531,-113.323546,2025-08-13,
STR015,,Christchurch,,AU,,MGR320,,2025-06-24,4671.0,9.0,35915.26,240387.76,Y,,invalid_date,,,2025-05-14,ERP
STR004,Store_143,,North,,,MGR123,,invalid_date,,,,,N,Y,invalid_date,,78.713507,invalid_date,
STR005,Store_144,Hamilton,North,NZ,Physical,,2024-05-27,2025-08-08,,,25883.27,,N,N,2025-01-18,,,2024-06-20,ERP
STR027,,,South,NZ,,,,invalid_date,,,6388.32,252454.97,Y,,2025-09-21,,,invalid_date,
STR010,Store_146,Christchurch,South,AU,,,2024-05-24,2025-01-20,2917.0,,,,N,N,,14.561346,-125.388518,,ERP
STR011,Store_147,Hamilton,South,NZ,,MGR373,invalid_date,2024-09-09,,,,318936.06,N,,2025-07-20,65.599398,-76.596341,2024-12-30,ERP
STR025,Store_148,,North,,,MGR60,invalid_date,invalid_date,,11.0,,268042.24,N,N,,52.657791,,2025-08-27,
STR009,Store_149,Christchurch,South,,,,invalid_date,invalid_date,7243.0,,,427537.21,,Y,2024-07-01,-25.627484,,,ERP
STR030,Store_150,Christchurch,South,NZ,,MGR191,2025-02-01,2024-12-01,7155.0,,,,,Y,,-84.734728,58.548199,invalid_date,
STR030,Store_151,Hamilton,,NZ,,,2025-08-25,,5119.0,17.0,,101738.71,N,Y,2024-05-02,,,,
STR014,Store_152,Hamilton,North,NZ,Physical,MGR434,invalid_date,,5881.0,39.0,37819.83,,Y,Y,,,,invalid_date,
STR004,,,South,,Ecommerce,MGR488,,2025-08-24,,17.0,48084.33,,N,N,2024-06-13,-72.1323,-0.050842,,CRM
STR009,Store_154,,North,AU,Ecommerce,MGR363,,,,,,,Y,Y,2024-10-30,,,,CRM
STR021,Store_155,Wellington,South,NZ,Ecommerce,,,,,31.0,34466.55,193708.45,Y,Y,invalid_date,,,,CRM
STR008,,Hamilton,South,NZ,Ecommerce,,2025-09-08,invalid_date,,36.0,33985.96,318941.3,N,N,2025-05-29,57.360641,,,CRM
STR008,,,,AU,,,2025-03-09,invalid_date,,,29330.49,,N,,2024-11-19,,-116.711288,2025-10-03,CRM
STR012,,,North,AU,Physical,MGR88,invalid_date,2025-10-01,8431.0,46.0,,196771.78,Y,Y,2025-10-05,20.149106,,2025-08-04,CRM
STR023,Store_159,Hamilton,North,NZ,,,2024-08-20,invalid_date,,,,,N,,2024-01-20,56.364939,-84.348435,,
STR014,Store_160,Hamilton,,AU,,MGR225,invalid_date,2025-09-19,9487.0,37.0,4745.43,277466.17,,,,,,,
STR022,,,North,AU,Ecommerce,,2025-11-28,invalid_date,7340.0,29.0,,371727.1,Y,N,invalid_date,-12.822155,-122.277686,,CRM
STR028,,Christchurch,North,AU,,,,2024-04-26,,,,167718.43,Y,Y,2025-10-28,-69.784425,,,
STR002,,Auckland,South,NZ,,MGR207,,invalid_date,,8.0,,183402.74,,Y,2024-09-24,,,invalid_date,ERP
STR025,,Hamilton,North,AU,Ecommerce,,,invalid_date,,,,391225.92,,N,,12.079132,-147.585484,2025-02-05,ERP
STR021,Store_165,Hamilton,North,,,MGR157,2025-01-13,invalid_date,,,49014.41,,Y,Y,2025-07-08,,,2024-10-01,CRM
STR024,,Wellington,South,,,,,2025-05-03,5437.0,,6565.15,247644.01,N,N,2025-04-14,,,,
STR006,Store_167,Christchurch,North,,,MGR287,,invalid_date,4770.0,6.0,12374.7,447774.1,,,invalid_date,,-72.770719,,CRM
STR020,Store_168,Wellington,South,AU,Physical,MGR356,2025-04-28,2024-08-13,,,,,N,Y,invalid_date,,-134.754654,2024-02-08,CRM
STR021,,Wellington,South,,Ecommerce,MGR450,invalid_date,invalid_date,8623.0,,,255773.47,,,,61.673204,,,CRM
STR022,,,,NZ,Physical,MGR314,2025-05-08,,5884.0,,37393.64,217602.59,N,Y,invalid_date,,,invalid_date,ERP
STR006,Store_171,,North,AU,,MGR444,,,7147.0,,12133.05,,,Y,2024-07-19,,-53.435912,,ERP
STR018,Store_172,Wellington,,,Physical,,invalid_date,2024-02-07,,34.0,26401.24,,,N,invalid_date,,,invalid_date,
STR019,,Hamilton,South,,Ecommerce,,invalid_date,invalid_date,,,,,Y,,,-28.344096,,2025-06-16,
STR017,Store_174,Wellington,South,,Ecommerce,MGR441,2025-06-29,invalid_date,5562.0,,,,,,2025-11-28,,,,
STR020,,Christchurch,,AU,,MGR36,2024-07-30,,,20.0,,213199.59,N,N,2025-06-04,77.611752,,2024-01-22,ERP
STR030,Store_176,Auckland,North,AU,,,,invalid_date,,16.0,,,Y,N,,,,,CRM
STR013,,Wellington,North,NZ,,MGR429,2024-03-23,2024-06-25,,,,,,N,invalid_date,,,,CRM
STR017,Store_178,Hamilton,,AU,Physical,,,2024-04-14,,,45569.51,409692.45,Y,N,,,-167.670478,2025-09-19,ERP
STR018,Store_179,,South,,Physical,,,2024-07-22,,22.0,,,Y,,invalid_date,,,2024-11-25,
STR026,Store_180,,,NZ,Ecommerce,MGR126,,,7839.0,,,104375.87,,,invalid_date,,80.237839,invalid_date,
STR019,Store_181,Christchurch,South,AU,Ecommerce,MGR70,,,,,13151.07,,Y,N,2024-01-11,,-88.525766,2024-11-04,CRM
STR029,,Wellington,North,AU,Physical,MGR256,invalid_date,2024-04-16,3236.0,,32592.44,394484.81,N,N,2025-07-04,30.557693,,2025-09-16,
STR025,,,South,AU,Physical,,invalid_date,2024-02-19,,14.0,,,N,,,39.826312,141.636044,,ERP
STR001,Store_184,Hamilton,,NZ,Ecommerce,MGR309,2025-10-11,,,47.0,,,N,,2025-10-24,4.745727,166.978098,invalid_date,
STR021,,Christchurch,South,,Ecommerce,,2025-01-03,,2552.0,7.0,,264409.24,N,,2025-11-11,-70.27895,106.745103,,CRM
STR013,Store_186,,,,,MGR167,2024-12-25,invalid_date,,21.0,33226.1,,,Y,2024-01-25,,128.451712,invalid_date,CRM
STR018,,Christchurch,,NZ,Physical,,,,4943.0,,,,N,N,,72.838496,109.316791,invalid_date,ERP
STR030,,Christchurch,,,,,,2024-10-10,5636.0,25.0,20573.01,,,,invalid_date,-40.748935,,invalid_date,CRM
STR011,Store_189,,North,AU,Physical,MGR144,2024-01-26,2024-07-13,,7.0,,350283.19,N,N,2025-05-15,55.136864,,invalid_date,CRM
STR011,,Christchurch,North,NZ,,,,,,30.0,,,,,invalid_date,,,invalid_date,CRM
STR028,Store_191,Wellington,South,NZ,,,invalid_date,2025-02-05,2432.0,,20414.19,113713.86,Y,Y,invalid_date,,22.571027,,ERP
STR018,Store_192,Auckland,,NZ,,,invalid_date,2024-08-10,6715.0,35.0,8920.77,147035.52,N,,invalid_date,-68.045043,93.638136,invalid_date,CRM
STR026,,Auckland,North,AU,,,invalid_date,,7129.0,,12446.46,135009.61,,Y,2025-11-05,15.630498,-46.893687,,ERP
STR005,Store_194,Wellington,North,NZ,,,2024-03-27,,3660.0,,31234.15,463660.67,N,,invalid_date,-73.697248,,2025-08-19,ERP
STR013,Store_195,Hamilton,North,,Physical,,invalid_date,,,,33782.87,303969.56,Y,Y,invalid_date,,,invalid_date,CRM
STR022,Store_196,Auckland,South,NZ,Physical,MGR2,invalid_date,,,10.0,,,,N,,-32.916148,,invalid_date,
STR012,Store_197,Hamilton,South,,,MGR225,,,,,39044.27,,,Y,2025-10-04,19.812508,159.231062,2024-01-19,ERP
STR007,,Wellington,North,,,,2024-06-23,,1914.0,27.0,37191.09,433797.66,,,invalid_date,,,invalid_date,CRM
STR025,Store_199,,,AU,,MGR423,,,,,9568.34,,,,2024-11-04,,64.02893,2024-09-14,CRM
STR009,,Wellington,South,AU,Ecommerce,MGR94,invalid_date,invalid_date,1435.0,,46995.44,332263.75,,,2024-01-09,86.564155,138.546296,2024-06-06,ERP
STR005,,Hamilton,,,Physical,MGR374,invalid_date,invalid_date,6042.0,27.0,,,N,,2025-09-02,-7.43755,25.594043,,
STR002,,Auckland,North,AU,Ecommerce,,,,6985.0,45.0,,411415.22,N,N,invalid_date,37.546147,-18.084089,,
STR001,Store_203,,North,NZ,,,2025-06-27,invalid_date,1444.0,28.0,27447.13,,N,Y,2025-05-26,-50.281676,-154.836188,invalid_date,
STR015,,Auckland,South,AU,,,2025-06-23,2024-01-04,7324.0,,,491183.15,Y,,2025-10-21,24.736602,,2024-03-03,
STR019,Store_205,Hamilton,South,,Ecommerce,,,invalid_date,3278.0,,22040.0,,N,Y,,71.277347,145.182532,invalid_date,CRM
STR019,,Wellington,South,NZ,Ecommerce,,,invalid_date,,35.0,35399.57,,N,,,,-98.740389,invalid_date,CRM
STR006,,,North,AU,,,2024-10-08,invalid_date,,13.0,3046.66,338001.18,Y,,2025-03-12,13.128694,-7.992708,invalid_date,CRM
